,SecuCode,ClosePrice,OpenPrice,HighPrice,LowPrice,VolumeValue,AmountValue
0,00001,69.4500,70.5500,71.1500,69.1500,4803689,334442283.9180
1,00002,79.8500,81.2500,81.2500,79.7000,2478010,198453995.0000
2,00003,15.5400,15.6600,15.6800,15.5000,8621056,134040395.8600
3,00004,16.9200,17.1800,17.1800,16.7600,4746983,80136113.2000
4,00005,59.7000,59.7000,60.0000,59.1000,15575777,927766264.9930
5,00006,52.8000,52.8000,53.2000,52.5500,1863448,98384466.4000
6,00007,0.8500,0.8600,0.8600,0.8400,2110000,1777740.0000
7,00008,4.3600,4.3700,4.4100,4.3500,5055239,22068541.0900
8,00009,0.1320,0.1390,0.1390,0.1200,1176000,142434.0000
9,00010,19.7000,19.9800,19.9800,19.7000,740982,14638753.9600
10,00011,172.0000,176.3000,176.3000,171.0000,2019204,348336669.9000
11,00012,38.0000,38.0500,38.2500,37.6500,5965693,226248846.9000
12,00014,31.2000,31.3000,31.4000,30.7500,1352224,42137911.2000
13,00015,0.6300,0.6300,0.6300,0.6300,,
14,00016,113.7000,114.5000,115.4000,112.6000,4937905,562223669.5200
15,00017,10.0800,10.1400,10.2000,10.0200,10093095,101688071.0200
16,00018,0.5900,0.5900,0.5900,0.5900,,
17,00019,74.5000,75.4000,76.0500,74.2500,1630777,121875658.4500
18,00020,45.2000,45.2000,45.5500,44.7500,665055,29972004.8400
19,00021,0.1280,0.1430,0.1430,0.1230,775000,98665.0000
20,00022,0.1980,0.1970,0.1970,0.1970,40000,7880.0000
21,00023,19.7400,19.8600,20.0000,19.5600,963633,19020709.4200
22,00024,0.0710,,,,,
23,00025,11.2000,11.2000,11.2000,11.2000,,
24,00026,97.5000,97.1000,97.5000,96.5500,12400,1201840.0000
25,00027,51.3500,52.4000,52.4000,50.8000,7783879,398462172.7500
26,00028,3.7000,3.6900,3.7000,3.6900,10000,36920.0000
27,00029,13.6000,14.4600,14.4600,13.2800,394650,5402322.0000
28,00030,0.2700,0.2650,0.2750,0.2600,4766000,1293150.0000
29,00031,0.4350,0.4400,0.4400,0.4350,176000,76700.0000
30,00032,11.8200,11.7400,11.8400,11.7400,44386,522439.4400
31,00034,9.2300,9.2600,9.2600,9.1900,145000,1338580.0000
32,00035,3.2500,3.3200,3.3200,3.2500,690114,2276085.9900
33,00036,0.2310,0.2310,0.2310,0.2310,,
34,00037,0.2150,0.2060,0.2150,0.2060,120000,25598.0000
35,00038,1.7200,1.7100,1.7300,1.7000,116000,198620.0000
36,00039,0.0710,0.0730,0.0740,0.0680,31392000,2206336.0000
37,00040,0.8000,0.8000,0.8100,0.8000,12000,9610.0000
38,00041,26.7500,27.0500,27.0500,26.7000,516644,13856895.2000
39,00042,0.6000,0.6000,0.6000,0.5900,342000,202800.0000
40,00043,0.6900,0.6900,0.7000,0.6800,6760000,4664440.0000
41,00045,7.7500,7.9300,7.9300,7.7000,2220000,17339585.9000
42,00046,3.3500,3.3500,3.3500,3.3500,4000,13400.0000
43,00047,0.1180,0.1160,0.1190,0.1120,124000,14288.0000
44,00050,7.1600,7.1300,7.2000,7.1300,11000,78750.0000
45,00051,13.0000,13.0000,13.0000,12.9800,8000,103920.0000
46,00052,23.1000,23.1000,23.2000,22.9000,164500,3783675.0000
47,00053,123.0000,122.2000,123.8000,121.2000,42000,5124900.0000
48,00055,0.2750,0.2500,0.2800,0.2500,60000,15800.0000
49,00056,1.7700,1.7700,1.7800,1.7700,300000,531040.0000
50,00057,2.8600,2.8700,2.8700,2.8600,14000,40140.0000
51,00058,0.0890,0.0890,0.0890,0.0890,,
52,00059,1.0400,1.0400,1.0600,1.0400,3970000,4165980.0000
53,00060,0.8600,0.8600,0.8600,0.8600,,
54,00061,0.0200,0.0200,0.0200,0.0200,25920000,518410.0000
55,00062,19.7600,19.8200,19.9000,19.7600,85600,1695120.0000
56,00063,0.2600,0.2700,0.2800,0.2500,1522000,396305.0000
57,00064,0.2420,0.2430,0.2460,0.2420,440000,106968.0000
