,SecuCode,ClosePrice,OpenPrice,HighPrice,LowPrice,VolumeValue,AmountValue
0,00001,71.9000,72.1500,72.8000,71.6500,3437567,247724575.0780
1,00002,81.7500,81.1000,82.0000,81.1000,2732042,223243537.6000
2,00003,15.2400,15.3200,15.3600,15.1600,19704885,300541550.7200
3,00004,17.6800,17.7600,17.9000,17.5600,3912883,69076377.6400
4,00005,59.2000,59.3000,59.5000,59.2000,10656725,631700968.2360
5,00006,55.8500,55.2500,55.8500,55.2000,3430034,190748889.3500
6,00007,0.8500,0.8500,0.8500,0.8400,466000,393700.0000
7,00008,4.6100,4.6100,4.6300,4.6000,6237479,28759820.3600
8,00009,0.1260,0.1260,0.1260,0.1260,,
9,00010,19.5600,19.5800,19.6600,19.3200,894000,17453510.0000
10,00011,162.8000,163.7000,163.8000,162.0000,1978749,321717794.1610
11,00012,38.6500,37.9000,38.8000,37.9000,4756150,183698612.0350
12,00014,30.5500,30.7500,31.1000,30.4000,1516150,46381365.5000
13,00015,0.6100,0.6100,0.6200,0.6100,54000,32980.0000
14,00016,116.6000,115.0000,117.2000,115.0000,6156438,716615038.1000
15,00017,11.0800,11.0400,11.2000,10.9600,17581489,194719252.5800
16,00018,0.5900,0.5900,0.6000,0.5800,274000,163780.0000
17,00019,73.4500,73.6500,74.1000,72.5500,1950444,143267571.0200
18,00020,47.9000,47.0000,47.9000,46.9000,1416806,67420245.7200
19,00021,0.1240,0.1240,0.1240,0.1240,5000,620.0000
20,00022,0.1860,0.1860,0.1860,0.1860,,
21,00023,18.6800,18.5000,18.7200,18.4000,1155157,21469297.3600
22,00024,0.0710,,,,,
23,00025,11.2000,11.2000,11.2000,11.2000,,
24,00026,100.8000,101.0000,102.8000,100.8000,3000,303340.0000
25,00027,52.7500,53.1500,53.6500,52.6500,6313079,334823480.4500
26,00028,3.7200,3.7200,3.7200,3.6800,63000,233710.0000
27,00029,11.2000,11.1000,11.2000,11.1000,36000,399880.0000
28,00030,0.3450,0.3450,0.3500,0.3400,6917000,2404360.0000
29,00031,0.4350,0.4400,0.4450,0.4350,1230000,540160.0000
30,00032,11.6400,11.5600,11.6600,11.5600,5254,60949.6400
31,00034,9.9000,9.8500,9.9200,9.8300,84000,829890.0000
32,00035,3.2900,3.2500,3.2900,3.2300,275625,898927.5000
33,00036,0.2140,0.2140,0.2140,0.2140,10923000,2294142.0000
34,00037,0.2130,0.2130,0.2130,0.2130,,
35,00038,1.6300,1.6600,1.6600,1.6300,356000,586060.0000
36,00039,0.0980,0.0990,0.1100,0.0970,50720000,5152496.0000
37,00040,0.7800,0.7800,0.7800,0.7800,,
38,00041,26.3000,26.3500,26.5000,26.1500,79925,2103262.5000
39,00042,0.5800,0.6000,0.6000,0.5800,304000,179520.0000
40,00043,0.6500,0.6500,0.6600,0.6500,137874,89758.1000
41,00045,8.8100,8.5500,8.8400,8.5100,1075454,9286863.4700
42,00046,3.2600,3.2600,3.2600,3.2600,18000,58680.0000
43,00047,0.1080,0.1100,0.1100,0.1080,1284000,140496.0000
44,00050,7.0800,7.1000,7.1300,7.0300,32000,226750.0000
45,00051,12.7000,12.7200,12.7200,12.7200,1000,12720.0000
46,00052,21.1000,21.5000,21.5000,21.0000,174500,3686525.0000
47,00053,129.9000,127.7000,129.9000,127.7000,49500,6362800.0000
48,00055,0.2650,0.2360,0.2650,0.2360,40000,9730.0000
49,00056,1.5600,1.5600,1.5800,1.5400,588960,916488.8000
50,00057,2.6500,2.6600,2.6600,2.6500,20000,53100.0000
51,00058,0.0880,0.0870,0.0880,0.0860,420000,36440.0000
52,00059,1.0600,1.0700,1.0700,1.0500,3082000,3252840.0000
53,00060,0.8300,0.8300,0.8300,0.8300,,
54,00061,0.0290,0.0290,0.0300,0.0280,5092440,149376.1200
55,00062,20.7500,20.8000,20.9000,20.7500,19200,399400.0000
56,00063,0.2500,0.2500,0.2500,0.2500,5000,1250.0000
57,00064,0.2340,0.2350,0.2360,0.2330,1700000,397832.0000
58,00066,44.9000,44.9000,45.2000,44.9000,3151158,141813892.6800
59,00068,3.7200,3.7200,3.7200,3.7200,,
60,00069,8.0700,8.3000,8.3700,7.9500,7796000,63007078.0000
61,00070,0.1380,0.1380,0.1380,0.1380,,
62,00071,15.3000,15.3000,15.3000,15.3000,13000,198900.0000
63,00075,2.2300,2.2400,2.2400,2.2300,19733,44017.9400
64,00076,0.0650,0.0650,0.0650,0.0620,4637912,298554.7200
65,00077,0.8700,0.8700,0.8700,0.8700,,
66,00078,4.4000,4.4300,4.5000,4.3700,508957,2246818.8100
67,00079,0.2500,0.2500,0.2500,0.2500,100000,25000.0000
68,00081,4.0700,4.0500,4.1000,4.0500,1791700,7300626.0000
69,00082,0.2090,0.2080,0.2090,0.2040,3182000,659699.0000
70,00083,11.6400,12.0800,12.0800,11.6000,10220962,119813625.2600
71,00084,0.1460,0.1460,0.1470,0.1460,44000,6440.0000
72,00085,0.6400,0.6300,0.6500,0.6300,94000,60320.0000
73,00086,3.4000,3.4200,3.4200,3.3800,379000,1286150.0000
74,00087,11.5200,11.5000,11.5400,11.4400,378486,4349998.4400
75,00088,6.2900,6.3100,6.3600,6.2900,149000,941440.0000
76,00089,4.6600,4.6600,4.6600,4.6600,,
77,00091,0.2400,0.2300,0.2440,0.2220,503437,117535.2060
78,00092,0.1490,0.1450,0.1490,0.1440,103200,15012.0000
79,00093,0.3100,0.3100,0.3100,0.3100,,
80,00094,0.1970,0.1760,0.1990,0.1730,44000,8540.0000
81,00097,0.6400,0.6300,0.6400,0.6300,459500,289685.0000
82,00099,2.7300,2.7300,2.7300,2.7300,,
83,00100,3.5800,3.5800,3.6000,3.5700,132000,472350.0000
84,00101,17.0800,17.2400,17.3600,17.0400,10667499,184081448.8800
85,00102,1.1800,1.1400,1.1800,1.1100,1526000,1759080.0000
86,00103,0.1720,0.1730,0.1730,0.1720,50000,8630.0000
87,00104,0.4500,0.4500,0.4500,0.4500,,
88,00105,20.0000,20.0000,20.0000,20.0000,,
89,00106,0.8500,0.8300,0.8500,0.8300,580000,481760.0000
90,00107,2.2900,2.2800,2.3000,2.2500,558000,1268570.0000
91,00108,1.3000,1.3100,1.3400,1.2600,1058000,1365560.0000
92,00109,0.1190,0.1190,0.1200,0.1190,340450,40519.9500
93,00110,0.0860,0.0860,0.0860,0.0860,,
94,00111,0.4000,0.4000,0.4000,0.4000,,
95,00112,3.3000,3.3300,3.4300,3.3300,6000,20380.0000
96,00113,3.7300,3.8400,3.9400,3.7300,55500,213485.0000
97,00114,0.6300,0.6300,0.6300,0.6300,,
98,00115,0.1100,0.1100,0.1100,0.1100,,
99,00116,9.2900,9.3200,9.4100,9.2600,1488018,13823326.2200
100,00118,0.3050,0.3050,0.3050,0.3050,,
101,00119,2.8500,2.8400,2.8600,2.8400,2915400,8319920.0000
102,00120,1.1000,1.1300,1.1400,1.0700,664000,727800.0000
103,00122,0.5400,0.5300,0.5500,0.5200,300000,159470.0000
104,00123,1.7300,1.7300,1.7300,1.7100,13650870,23467389.6000
105,00124,1.2400,1.2400,1.2400,1.2400,160000,198400.0000
106,00125,2.3500,2.3100,2.3500,2.3100,104000,240360.0000
107,00126,0.7800,0.7800,0.8000,0.7800,218000,170640.0000
108,00127,5.5200,5.5100,5.5200,5.4800,83000,457225.0000
109,00128,0.7700,0.7500,0.7900,0.7500,3748000,2889200.0000
110,00129,1.2800,1.3100,1.3100,1.2800,972000,1245580.0000
111,00130,0.4650,0.4650,0.4650,0.4650,,
112,00131,3.8500,3.8500,3.8500,3.8500,1,3.6700
113,00132,0.2950,0.2950,0.2950,0.2950,,
114,00133,9.7500,9.7000,9.7500,9.6000,23983,232196.2900
115,00135,7.1600,7.2500,7.2800,7.0900,21641899,154914967.8800
116,00136,0.1150,0.1150,0.1160,0.1140,28118000,3234800.0000
117,00137,0.7300,0.7500,0.7500,0.7300,34000,25420.0000
118,00138,0.4750,0.4800,0.4800,0.4750,502143,241017.2100
119,00139,0.0680,0.0670,0.0690,0.0660,4378209,295889.1670
120,00141,0.5800,0.5800,0.5800,0.5800,,
121,00142,3.0000,3.0100,3.0600,2.9700,2438105,7325799.7000
