,SecuCode,ClosePrice,OpenPrice,HighPrice,LowPrice,VolumeValue,AmountValue
0,00001,74.2000,74.5000,75.3000,73.6500,6259527,463662846.5400
1,00002,81.9000,82.6000,82.8500,81.9000,1995158,164068735.0160
2,00003,15.6400,15.6000,15.8000,15.6000,14883810,233122608.5330
3,00004,21.0500,21.6000,21.6000,20.9000,2168107,45894589.5000
4,00005,59.1500,59.3500,59.8000,59.1500,23520201,1396116177.6240
5,00006,57.2500,57.5000,57.7000,57.1000,1616938,92769910.8500
6,00007,0.8200,0.8200,0.8300,0.8000,2644000,2152310.0000
7,00008,4.7200,4.7600,4.7600,4.6700,6767360,31806347.3040
8,00009,0.1850,0.1820,0.1850,0.1820,216000,39510.0000
9,00010,20.1500,20.6000,20.7000,20.0500,1965000,39876950.0000
10,00011,166.7000,166.0000,168.7000,166.0000,2279437,381609928.3120
11,00012,37.6000,38.5000,38.5000,37.5000,8707312,328486989.3120
12,00014,30.3000,31.7500,31.7500,30.1500,2680459,82321341.7000
13,00015,0.5400,0.5400,0.5400,0.5400,,
14,00016,118.7000,120.8000,120.8000,118.1000,5113553,607177795.8000
15,00017,10.7000,10.8000,11.0000,10.7000,21015927,226143598.1180
16,00018,0.5500,0.5500,0.5500,0.5500,64000,35200.0000
17,00019,73.0500,75.5000,75.5000,73.0500,1890160,139320467.1500
18,00020,50.6500,51.4000,51.4000,50.5500,547844,27779102.4000
19,00021,0.1240,0.1240,0.1240,0.1240,,
20,00022,0.1610,0.1700,0.1700,0.1580,280000,45200.0000
21,00023,17.6200,18.0800,18.0800,17.5600,1345458,23733843.7200
22,00024,0.0710,,,,,
23,00025,11.2000,11.1000,11.2800,11.0800,42000,469160.0000
24,00026,118.0000,118.2000,118.4000,118.0000,5200,614700.0000
25,00027,56.7500,57.7500,58.0000,56.1000,24688353,1405914034.7900
26,00028,3.4400,3.4300,3.4600,3.4100,40000,136520.0000
27,00029,11.4000,11.5800,11.5800,11.4000,154000,1765080.0000
28,00030,0.3450,0.3450,0.3500,0.3400,3592000,1238230.0000
29,00031,0.4800,0.4800,0.4850,0.4750,1448000,695540.0000
30,00032,12.0800,12.0800,12.1400,12.0800,38500,465560.0000
31,00034,9.8000,9.9000,9.9000,9.8000,149000,1465040.0000
32,00035,3.5900,3.6100,3.6100,3.5700,957319,3428202.0200
33,00036,0.2050,0.2030,0.2050,0.2030,78000,15840.0000
34,00037,0.2050,0.2050,0.2050,0.2050,,
35,00038,1.7000,1.7400,1.7400,1.6900,856000,1463220.0000
36,00039,0.0860,0.0860,0.0860,0.0830,1352000,113368.0000
37,00040,0.8400,0.8300,0.8400,0.8200,32000,26290.0000
38,00041,26.1000,26.8500,27.0000,26.0000,240050,6280530.0000
39,00042,0.5600,0.5600,0.5700,0.5500,158000,87420.0000
40,00043,0.7300,0.7200,0.7300,0.7100,10258000,7388360.0000
41,00045,8.4500,8.7100,8.7100,8.4300,290215,2492802.3500
42,00046,3.1400,3.2000,3.2000,3.1400,10000,31680.0000
43,00047,0.1010,0.1020,0.1020,0.1000,288000,29072.0000
44,00050,6.9400,6.9600,6.9700,6.9400,30000,208670.0000
45,00051,11.4000,11.2400,11.4000,11.2400,7000,78840.0000
46,00052,19.8800,20.3500,20.3500,19.7000,402000,7984995.0000
47,00053,129.2000,127.6000,129.2000,127.1000,9000,1157400.0000
48,00055,0.2040,0.2040,0.2040,0.2040,50000,10230.0000
49,00056,1.5400,1.5500,1.5800,1.5400,268000,415400.0000
50,00057,2.2300,2.2200,2.2600,2.2200,144000,321040.0000
51,00058,0.1000,0.0980,0.1000,0.0980,619000,60628.0000
52,00059,1.0300,1.0500,1.0500,1.0300,3140000,3265880.0000
53,00060,0.8100,0.8100,0.8100,0.8100,400000,324000.0000
54,00061,0.0310,0.0320,0.0330,0.0290,7684000,231740.0000
55,00062,20.3000,20.6500,20.6500,20.3000,108355,2218299.7500
56,00063,0.1790,0.1790,0.1790,0.1790,56000,10024.0000
57,00064,0.2090,0.2100,0.2100,0.2050,4774000,990664.0000
58,00066,46.6500,46.9000,47.1000,46.3000,5468512,254414635.6950
59,00068,3.5000,3.5000,3.5000,3.5000,,
60,00069,7.9300,8.3700,8.3700,7.9200,6496200,52044146.0000
61,00070,0.1300,0.1340,0.1350,0.1290,465000,60695.0000
62,00071,15.4200,15.6000,15.6000,15.4000,117000,1811160.0000
63,00075,2.2000,2.2100,2.2100,2.2000,33333,73285.9500
64,00076,0.0310,0.0350,0.0350,0.0290,127443200,3873096.0000
65,00077,0.8900,0.8900,0.8900,0.8900,,
66,00078,4.3100,4.3100,4.3200,4.2300,618000,2638540.0000
67,00079,0.2140,0.2140,0.2140,0.2140,,
68,00081,5.8500,5.9000,6.0000,5.7000,14909009,86333018.4800
69,00082,0.2010,0.2060,0.2100,0.1960,4486000,909424.0000
70,00083,11.3000,11.4800,11.4800,11.2400,8436053,95350428.3300
71,00084,0.1170,0.1250,0.1260,0.1170,598000,72375.0000
72,00085,0.7600,0.8000,0.8200,0.7500,2500000,1962140.0000
73,00086,3.6500,3.7000,3.7000,3.6400,441000,1617140.0000
74,00087,11.7000,12.0000,12.0000,11.6400,1142855,13396003.8000
75,00088,6.2600,6.2600,6.2700,6.2400,3934000,24587860.0000
76,00089,4.5500,4.6100,4.6100,4.5500,39000,179170.0000
77,00091,0.2500,0.2700,0.2700,0.2480,250313,62951.0510
78,00092,0.1290,0.1180,0.1180,0.1180,19000,2234.0000
79,00093,0.3250,0.3250,0.3250,0.3250,,
80,00094,0.2750,0.2750,0.2750,0.2750,660,157.7400
81,00097,0.6300,0.6400,0.6400,0.6200,3002000,1875820.0000
82,00099,2.9100,2.7100,2.9100,2.7000,12000,32700.0000
83,00100,5.7400,5.7900,5.8000,5.7000,94000,541300.0000
84,00101,18.2400,18.8400,18.9800,18.0000,8281267,151788798.4000
85,00102,1.0200,1.0300,1.0400,1.0100,1614000,1647700.0000
86,00103,0.2160,0.2160,0.2160,0.2160,,
87,00104,0.4500,0.4350,0.4350,0.4350,50000,21750.0000
88,00105,19.0000,19.0000,19.0000,19.0000,,
89,00106,0.8000,0.8000,0.8000,0.8000,428000,342400.0000
90,00107,2.3700,2.3900,2.4000,2.3600,1198000,2846860.0000
91,00108,1.2700,1.2000,1.3000,1.1900,95100000,114403960.0000
92,00109,0.0990,0.1050,0.1050,0.0960,466000,46024.0000
93,00110,0.0810,0.0780,0.0810,0.0780,16000,1254.0000
94,00111,0.3800,0.3700,0.3800,0.3700,48000,18000.0000
95,00112,3.8600,3.9100,3.9200,3.8400,10000,38860.0000
96,00113,4.8000,4.8500,4.8800,4.7900,278000,1334750.0000
