,SecuCode,ClosePrice,OpenPrice,HighPrice,LowPrice,VolumeValue,AmountValue
0,00001,66.9000,67.0500,67.6000,66.8000,4279217,286925220.1500
1,00002,81.2000,82.0000,82.3500,81.1000,4828300,393901544.2700
2,00003,15.0000,15.0400,15.0800,14.9800,17168062,257713546.9950
3,00004,17.5400,17.3000,17.5800,16.9000,8906101,154584113.0800
4,00005,52.5500,53.0000,53.1000,52.5500,45432000,2394457651.3460
5,00006,55.1500,55.9000,55.9000,54.9000,2745430,151455372.2500
6,00007,0.8000,0.8400,0.8500,0.7900,6296000,5070620.0000
7,00008,4.6600,4.7200,4.7200,4.6500,9980588,46668314.8700
8,00009,0.1400,0.1430,0.1430,0.1400,162000,22698.0000
9,00010,19.9200,20.0000,20.1500,19.8000,667000,13309250.0000
10,00011,155.4000,159.0000,160.8000,155.0000,5648609,884600167.4920
11,00012,35.8500,36.0000,36.2000,35.8000,3063304,110132169.9660
12,00014,28.5000,28.3000,28.6500,28.2500,1994954,56872815.0000
13,00015,0.5000,0.5000,0.5100,0.5000,22000,11140.0000
14,00016,109.0000,110.0000,110.0000,108.8000,5034450,549991765.6500
15,00017,9.9500,10.1000,10.1000,9.8000,25697261,255370628.7700
16,00018,0.5200,0.5100,0.5300,0.5100,244000,125920.0000
17,00019,69.5500,70.8000,70.8000,69.3500,6923381,484608122.2000
18,00020,62.0500,64.0000,64.0000,61.0000,3795600,235420302.0200
19,00021,0.1200,0.1190,0.1200,0.1190,60000,7145.0000
20,00022,0.1380,0.1380,0.1380,0.1380,,
21,00023,16.6800,16.8000,16.8400,16.5000,1119635,18633105.8600
22,00024,0.0710,,,,,
23,00025,11.0000,10.8200,11.0400,10.8200,18146,199019.7200
24,00026,125.0000,126.8000,126.8000,125.0000,24600,3096380.0000
25,00027,51.6000,52.4500,53.0000,51.1000,15652858,813372595.2000
26,00028,3.0900,3.0800,3.1100,3.0800,70000,216310.0000
27,00029,11.0200,10.9600,11.0200,10.9600,52000,572000.0000
28,00030,0.3050,0.3050,0.3100,0.3050,276000,84200.0000
29,00031,0.4400,0.4350,0.4400,0.4300,840000,366480.0000
30,00032,12.1000,12.0200,12.1600,12.0200,216090,2615170.8000
31,00034,9.3000,9.2900,9.3300,9.2500,192000,1787760.0000
32,00035,3.4700,3.4300,3.4800,3.4200,1729500,5970233.7100
33,00036,0.1810,0.1770,0.1830,0.1700,786000,137559.0000
34,00037,0.1850,0.1850,0.1850,0.1850,124000,22940.0000
35,00038,1.6300,1.6500,1.6600,1.6000,1096000,1787000.0000
36,00039,0.0780,0.0840,0.0840,0.0740,3008000,232272.0000
37,00040,0.7600,0.7600,0.7600,0.7600,,
38,00041,22.9500,23.7000,23.7500,22.9500,435623,10066372.4500
39,00042,0.5000,0.4900,0.5100,0.4900,278000,137820.0000
40,00043,0.6600,0.6700,0.6700,0.6500,568000,375040.0000
41,00045,8.0000,8.1600,8.1600,7.8500,264000,2105880.0000
42,00046,3.0400,3.0800,3.0800,3.0400,20000,61200.0000
43,00047,0.0900,0.0900,0.0900,0.0900,,
44,00050,6.8000,6.7500,6.8200,6.7500,35000,237620.0000
45,00051,10.5800,10.5800,10.5800,10.5800,3000,31740.0000
46,00052,19.4000,19.2800,19.5200,19.2400,122500,2377040.0000
47,00053,127.5000,126.8000,127.5000,126.4000,29676,3777610.5600
48,00055,0.2030,0.2030,0.2030,0.2030,200000,40600.0000
49,00056,1.4900,1.4900,1.5000,1.4900,46000,68560.0000
50,00057,2.1100,2.1100,2.1100,2.1100,,
51,00058,0.0900,0.0900,0.0900,0.0900,80000,7200.0000
52,00059,1.0100,1.0200,1.0600,1.0100,4844000,4975900.0000
53,00060,0.7500,0.7500,0.7500,0.7500,,
54,00061,0.0280,0.0260,0.0280,0.0260,130000,3520.0000
55,00062,19.0200,19.1000,19.2000,19.0200,84570,1614714.6000
56,00063,0.2040,0.2050,0.2050,0.2050,80000,16400.0000
57,00064,0.1840,0.1850,0.1860,0.1830,2285000,420491.0000
58,00066,43.3000,43.4500,43.5500,43.0500,4120613,178236239.5340
59,00068,3.4600,3.4600,3.4600,3.4600,,
60,00069,7.1500,7.1600,7.2500,7.1500,2421850,17403796.0000
61,00070,0.1460,0.1470,0.1470,0.1460,40000,5860.0000
62,00071,14.5000,14.5400,14.5800,14.4600,37000,536760.0000
63,00075,2.2000,2.2000,2.2000,2.2000,8453,18473.9500
64,00076,0.0190,0.0190,0.0200,0.0160,91464001,1606676.0130
65,00077,0.8500,0.8400,0.8500,0.8300,114000,94780.0000
66,00078,3.4800,3.4700,3.5100,3.4000,146000,505920.0000
67,00079,0.2200,0.2200,0.2200,0.2200,,
68,00081,5.4300,5.6400,5.7000,5.4000,4761309,26313657.7400
69,00082,0.1860,0.1870,0.1880,0.1830,1818800,334919.8000
70,00083,10.5800,10.7200,10.7200,10.5200,4649113,49215043.4600
71,00084,0.0840,0.0890,0.0990,0.0840,730000,62416.0000
72,00085,0.6800,0.7100,0.7200,0.6600,2138500,1473875.0000
73,00086,3.6000,3.5600,3.6100,3.5600,100000,358330.0000
74,00087,11.0000,11.1600,11.1600,11.0000,1302500,14448500.0000
75,00088,5.9400,5.9700,5.9700,5.9300,63000,374630.0000
76,00089,4.5400,4.5400,4.5400,4.5400,,
77,00091,0.2230,0.2200,0.2230,0.2170,325000,71275.0000
78,00092,0.1270,0.1270,0.1270,0.1270,,
79,00093,0.3200,0.3200,0.3200,0.3200,,
80,00094,0.2150,0.2150,0.2150,0.2150,,
81,00097,0.6200,0.6100,0.6200,0.6100,620000,380660.0000
82,00099,2.5900,2.5900,2.5900,2.5900,,
83,00100,4.7500,4.7300,5.0000,4.7300,547000,2635350.0000
84,00101,17.2000,17.2000,17.2200,16.7800,10041920,172291374.5600
85,00102,0.8600,0.8500,0.8800,0.8500,166000,142120.0000
86,00103,0.2290,0.2200,0.2290,0.2160,306000,67100.0000
87,00104,0.4300,0.4300,0.4300,0.4300,20000,8600.0000
88,00105,18.0000,18.0000,18.0000,18.0000,12000,216000.0000
89,00106,0.7400,0.7400,0.7400,0.7100,408000,293880.0000
90,00107,2.0900,2.1000,2.1300,2.0900,480000,1011120.0000
91,00108,1.8100,1.8800,1.8900,1.8000,5288000,9737900.0000
92,00109,0.0950,0.0950,0.0950,0.0950,17108,1589.7200
93,00110,0.0700,0.0880,0.0990,0.0700,6830000,530594.0000
94,00111,0.4000,0.3850,0.4150,0.3850,76000,30620.0000
