,SecuCode,ClosePrice,OpenPrice,HighPrice,LowPrice,VolumeValue,AmountValue
0,00001,54.3500,55.1500,55.3000,53.9000,10971440,595668764.4500
1,00002,77.9500,78.6500,78.6500,77.8000,2964938,231698160.3200
2,00003,13.7000,13.6000,13.7400,13.5600,38328889,524390858.5960
3,00004,15.7400,15.2800,15.7400,15.0600,9592621,148366584.4800
4,00005,41.0000,41.1000,41.4000,40.4500,102483973,4172606607.7270
5,00006,44.7000,45.0000,45.2000,44.3500,2272310,101600215.0500
6,00007,0.7300,0.7200,0.7300,0.7200,118000,85820.0000
7,00008,4.4600,4.4700,4.4900,4.4300,8159489,36383707.2700
8,00009,0.0840,0.0840,0.0840,0.0840,,
9,00010,16.3600,16.6000,16.7200,16.1600,689000,11286640.0000
10,00011,139.4000,135.1000,139.8000,135.0000,9111185,1260178681.1810
11,00012,31.5000,31.4000,31.7000,31.2000,7561579,238101320.7800
12,00014,25.4000,25.5000,26.0000,25.0000,2471214,62784932.4000
13,00015,0.4100,0.4000,0.4100,0.4000,82000,33120.0000
14,00016,100.5000,103.0000,103.0000,100.4000,10340709,1046616495.5000
15,00017,9.0400,9.0000,9.1000,8.9500,22475946,202851135.5100
16,00018,0.4400,0.4200,0.4600,0.4200,770000,340510.0000
17,00019,46.8500,47.8000,47.8500,46.3000,2910234,136479061.3500
18,00020,59.7500,59.6000,59.8000,57.6000,2871886,170800049.7000
19,00021,0.0970,0.0970,0.0970,0.0970,,
20,00022,0.1100,0.1100,0.1100,0.1100,120000,13200.0000
21,00023,18.2400,18.6200,18.9800,18.0600,2333541,42941307.1200
22,00024,0.0710,,,,,
23,00025,9.7500,9.4000,9.7800,9.4000,22440,211652.0000
24,00026,94.6000,93.7500,95.6500,93.7500,4562,433869.0000
25,00027,55.3000,55.9000,56.2500,54.7000,9985017,553959465.5000
26,00028,3.4700,3.4500,3.4900,3.4500,224347,776036.7400
27,00029,12.0200,12.1400,12.3200,11.6800,50000,604240.0000
28,00030,0.2500,0.2550,0.2550,0.2400,2630000,648824.0000
29,00031,0.4600,0.4500,0.4600,0.4450,1768050,803292.7500
30,00032,10.9600,11.2400,11.3000,10.8600,85496,942453.3600
31,00034,9.0200,8.9900,9.0500,8.9800,445000,4021110.0000
32,00035,2.5300,2.5500,2.5600,2.5000,1902879,4827585.1600
33,00036,0.1200,0.1200,0.1200,0.1200,60000,7200.0000
34,00037,0.1160,0.1180,0.1180,0.1150,220000,25718.0000
35,00038,2.0400,2.1100,2.1100,2.0200,1774000,3622440.0000
36,00039,0.0480,0.0490,0.0500,0.0440,3808000,179736.0000
37,00040,0.6400,0.6200,0.6400,0.6200,5000,3160.0000
38,00041,19.4000,19.5000,19.5800,19.2400,1464360,28319228.0000
39,00042,0.4400,0.4350,0.4450,0.4300,102000,44120.0000
40,00043,0.7000,0.6900,0.7000,0.6900,1142000,789980.0000
41,00045,7.3500,7.2700,7.3500,7.1500,516500,3750135.0000
42,00046,2.1600,2.1600,2.1600,2.1600,,
43,00047,0.0720,0.0730,0.0740,0.0720,484000,35224.0000
44,00050,6.0000,6.0500,6.0500,5.9300,184000,1104610.0000
45,00051,8.4000,8.3100,8.4500,8.2000,16000,133710.0000
46,00052,17.6200,17.2000,17.9000,17.1000,333800,5864738.0000
47,00053,110.0000,110.2000,110.2000,109.7000,10000,1100300.0000
48,00055,0.2000,0.2000,0.2080,0.1950,180000,36170.0000
49,00056,1.8800,1.8900,1.8900,1.8800,2448000,4626360.0000
50,00057,1.7300,1.7600,1.7600,1.7300,240000,420640.0000
51,00058,0.0940,0.0940,0.0940,0.0940,,
52,00059,1.0200,1.0300,1.0300,1.0200,5930000,6072160.0000
53,00060,0.6100,0.6100,0.6100,0.6100,,
54,00061,0.0110,0.0120,0.0120,0.0110,8220000,98230.0000
55,00062,15.3800,15.4000,15.5000,15.3200,80800,1244128.0000
56,00063,0.1550,0.1600,0.1750,0.1540,136000,21159.0000
57,00064,0.1160,0.1190,0.1210,0.1150,3196000,372842.0000
58,00066,41.1500,41.0000,41.3000,40.7000,8592625,352763192.6800
59,00068,1.5000,1.5000,1.5000,1.5000,,
60,00069,6.9100,6.8900,7.1200,6.8200,6952645,48145295.6500
61,00070,0.0990,0.0990,0.0990,0.0990,170000,16830.0000
62,00071,13.8800,13.9600,13.9600,13.8600,193000,2681640.0000
63,00075,2.2300,2.2300,2.2500,2.2100,18013743,40170250.4100
64,00076,0.0180,0.0190,0.0190,0.0180,2446688,44144.2560
65,00077,0.6400,0.6400,0.6500,0.6400,88000,56420.0000
66,00078,3.0700,3.0400,3.1000,3.0100,677806,2065257.8800
67,00079,0.1700,0.1700,0.1700,0.1700,,
68,00081,4.5900,4.6500,4.7000,4.5600,6609476,30522082.8000
69,00082,0.3000,0.2550,0.4050,0.2550,275800400,85372974.0000
70,00083,10.0600,9.9700,10.1200,9.9000,6762907,67642742.6700
71,00084,0.0770,0.0780,0.0830,0.0770,116000,9254.0000
72,00085,0.7300,0.7300,0.7400,0.7100,1556050,1138517.5000
73,00086,3.0900,3.1100,3.1100,3.0900,557000,1725450.0000
74,00087,8.1800,8.1700,8.2900,8.0200,1958300,15999185.0000
75,00088,5.1600,5.3000,5.3000,5.1500,287000,1487990.0000
76,00089,4.0900,4.1800,4.1800,4.0900,39000,159780.0000
77,00091,0.2950,0.3100,0.3100,0.2950,60150,17664.0000
78,00092,0.1180,0.1200,0.1360,0.1180,409057,51531.7410
79,00093,0.2850,0.2850,0.2850,0.2850,,
80,00094,0.1850,0.1850,0.1850,0.1850,,
81,00097,0.4150,0.4050,0.4350,0.4050,2173000,901955.0000
82,00099,1.9900,1.9900,1.9900,1.9900,,
83,00100,7.1200,7.1200,7.1200,7.1200,10000,71200.0000
84,00101,17.4600,17.1800,17.5800,17.1800,5227459,91402360.4000
85,00102,0.5800,0.5800,0.5800,0.5700,6312000,3659020.0000
86,00103,0.1990,0.1850,0.1990,0.1850,44000,8196.0000
87,00104,0.3500,0.3500,0.3500,0.3500,,
88,00105,16.2000,16.2000,16.2000,16.2000,,
89,00106,0.7700,0.7700,0.7700,0.7700,,
90,00107,1.9300,1.9500,1.9700,1.9300,854000,1669740.0000
91,00108,1.6000,1.5900,1.6000,1.5700,5154000,8192200.0000
92,00109,0.0650,0.0610,0.0690,0.0610,466014,30236.8120
93,00110,0.0500,0.0460,0.0500,0.0460,106000,4900.0000
94,00111,0.3400,0.3400,0.3400,0.3400,70000,23800.0000
95,00112,4.9600,4.9600,4.9800,4.8000,20000,98160.0000
96,00113,4.6900,4.7000,4.7000,4.5200,270000,1245660.0000
97,00114,0.5900,0.5900,0.5900,0.5900,,
98,00115,0.1100,0.1100,0.1100,0.1100,,
99,00116,8.6400,8.0500,8.8900,8.0100,3884056,32846842.1400
100,00118,0.2950,0.2950,0.2950,0.2950,2000,590.0000
101,00119,2.7200,2.6900,2.7300,2.6800,8270858,22398795.9400
102,00120,1.4600,1.5100,1.5400,1.4500,740000,1122560.0000
103,00122,0.3650,0.3700,0.3700,0.3600,373000,135300.0000
104,00123,1.4600,1.4500,1.4800,1.4400,10843185,15835949.2600
105,00124,0.8600,0.8600,0.9500,0.8500,384000,349900.0000
106,00125,1.2600,1.2000,1.4000,1.2000,64000,78460.0000
107,00126,0.5100,0.5000,0.5100,0.5000,362000,181020.0000
108,00127,5.0500,5.5600,6.0500,4.8800,5712765,30670020.0000
109,00128,0.5800,0.5900,0.5900,0.5800,92000,54080.0000
110,00129,0.9400,0.9400,0.9500,0.9100,529176,494854.8800
111,00130,0.3300,0.3300,0.3300,0.3100,874000,285220.0000
112,00131,2.8000,2.8500,2.8500,2.7500,22000,60650.0000
113,00132,0.2200,0.2200,0.2300,0.2200,101000,22230.0000
114,00133,9.0000,9.0000,9.1200,9.0000,238000,2147180.0000
115,00135,4.8900,4.9100,4.9800,4.8100,12241055,59894609.9700
116,00136,0.1630,0.1670,0.1700,0.1600,142566000,23380542.0000
117,00137,0.4850,0.4900,0.4900,0.4900,5000,2450.0000
118,00138,0.2850,0.2850,0.2900,0.2750,807000,226280.0000
119,00139,0.0170,0.0180,0.0190,0.0170,5581870,98211.3100
120,00141,1.0500,0.8200,1.0500,0.7800,960000,795080.0000
121,00142,1.8400,1.5400,1.8800,1.5400,17158321,30182131.3800
122,00143,0.0600,0.0690,0.0690,0.0600,1884000,122860.0000
123,00144,10.2400,10.2000,10.2800,10.0800,5259581,53620498.4400
124,00145,0.0600,0.0560,0.0600,0.0560,40000,2368.0000
125,00146,1.1400,1.1400,1.1400,1.1400,,
126,00147,0.1440,0.1440,0.1450,0.1440,105000,15185.0000
127,00148,20.4500,20.1500,20.5000,20.1500,997490,20328926.5000
128,00149,0.0580,0.0580,0.0580,0.0580,248001,14369.0530
129,00152,13.4000,13.3200,13.5200,13.2200,3608658,48181852.8400
130,00154,0.4500,0.4500,0.4500,0.4400,230000,103480.0000
131,00155,0.1800,,,,,
132,00156,0.1620,0.1520,0.1640,0.1500,1720000,268020.0000
133,00157,0.6500,,,,,
134,00158,172.7000,172.7000,172.7000,172.7000,,
135,00159,0.1190,0.1100,0.1190,0.1100,108000,11988.0000
136,00160,2.3500,2.3000,2.3000,2.3000,60000,138000.0000
137,00162,0.1950,0.2180,0.2200,0.1860,730000,150402.0000
138,00163,1.3200,1.3100,1.3300,1.3000,818891,1077680.4800
139,00165,11.3200,11.3200,11.4400,11.2200,1118000,12651120.0000
140,00166,0.0330,0.0340,0.0340,0.0310,3865000,124961.0000
141,00167,0.0290,0.0220,0.0290,0.0220,420000,10370.0000
142,00168,55.2500,55.4000,56.2000,54.7000,2825222,155811858.4000
143,00169,0.2650,0.2600,0.2650,0.2550,621000,160465.0000
144,00171,0.9600,0.9600,0.9600,0.9500,262000,250720.0000
145,00172,0.0800,,,,,
146,00173,3.5200,3.5500,3.6300,3.5100,3063143,10864442.6400
147,00174,0.5500,0.5500,0.5500,0.5500,2000,1100.0000
148,00175,11.9600,12.1800,12.2000,11.8000,80000571,960919919.0800
149,00176,0.1890,0.1880,0.1890,0.1880,1604000,301556.0000
150,00177,9.1000,9.1100,9.1900,8.9500,5045938,45786205.7600
151,00178,1.3500,1.3300,1.4000,1.3000,21540000,29200040.0000
152,00179,14.8600,14.3000,14.9600,14.1800,815463,11908538.3000
153,00180,0.5600,0.5700,0.5700,0.5600,94000,52980.0000
154,00181,0.2000,0.2000,0.2000,0.2000,,
155,00182,0.3050,0.3050,0.3050,0.3000,7320000,2225600.0000
156,00184,3.4600,3.4600,3.4600,3.4400,24000,82840.0000
157,00185,0.3400,0.3400,0.3450,0.3350,6260000,2119600.0000
158,00186,0.3300,0.3600,0.3600,0.3200,1200000,408000.0000
159,00187,1.4300,1.3700,1.4300,1.3700,166000,235280.0000
160,00188,0.0480,0.0480,0.0500,0.0470,3035067,144042.8140
161,00190,5.2000,5.3400,5.3400,5.0400,71386,368538.7600
162,00191,8.1900,8.1900,8.1900,8.1900,,
163,00193,0.4300,0.4300,0.4300,0.4300,33,13.6950
164,00194,7.1400,7.2200,7.2200,7.1400,54000,387440.0000
165,00197,0.1040,0.1010,0.1040,0.0940,1908972,191898.3960
166,00198,2.3400,,,,,
167,00199,0.9400,0.9200,0.9500,0.9200,27216,25514.4000
168,00200,17.1000,17.4000,17.5000,16.9000,4970383,85306743.3400
169,00201,0.1040,0.1040,0.1040,0.1040,,
170,00202,0.1850,0.1800,0.1900,0.1790,515000,95580.0000
171,00204,0.0970,0.1100,0.1100,0.0910,7230000,723090.0000
172,00205,0.1200,0.1350,0.1400,0.1200,182500,24482.5000
173,00207,0.5700,0.5800,0.5900,0.5700,22742000,13187580.0000
174,00208,0.8200,0.8300,0.8300,0.8100,715000,586300.0000
175,00209,0.0260,0.0290,0.0290,0.0240,14552000,386236.0000
176,00210,0.1230,0.1190,0.1230,0.1180,510000,62000.0000
177,00211,0.0200,0.0210,0.0210,0.0200,250000,5060.0000
178,00212,43.6500,43.6500,43.6500,43.6500,,
179,00213,1.0600,1.0800,1.0800,1.0600,42000,44760.0000
180,00214,0.9500,0.9300,0.9500,0.9300,9646,9008.4800
181,00216,1.7000,1.6800,1.7000,1.6300,140000,236600.0000
182,00217,0.1680,0.1680,0.1720,0.1680,312000,53094.0000
183,00218,0.8400,0.8700,0.8700,0.8300,515000,436200.0000
184,00219,1.7700,1.7000,1.7700,1.7000,4000,6940.0000
185,00221,0.6800,0.6800,0.7000,0.6800,7458160,5158994.4000
186,00222,2.5000,2.5000,2.5000,2.5000,30000,75000.0000
187,00223,0.0470,0.0500,0.0500,0.0470,670000,31600.0000
188,00224,1.2000,1.2000,1.2000,1.2000,,
189,00225,11.9600,11.9000,12.0600,11.9000,16000,191360.0000
190,00226,2.3100,2.2900,2.3900,2.2200,38425,88080.5000
191,00227,0.3250,0.3400,0.3400,0.3200,752000,245920.0000
192,00228,0.1710,0.1720,0.1720,0.1680,2374000,403176.0000
193,00229,0.8300,0.8200,0.8300,0.8200,32000,26260.0000
194,00230,1.1200,1.0200,1.1600,1.0200,3842000,4188500.0000
195,00231,0.0280,0.0270,0.0280,0.0270,2342500,64390.0000
196,00232,0.1420,0.1420,0.1470,0.1400,13556389,1950825.0150
