,SecuCode,ClosePrice,OpenPrice,HighPrice,LowPrice,VolumeValue,AmountValue
0,00001,75.1500,75.5000,75.5000,74.7500,3638300,273168528.1680
1,00002,83.7500,83.5000,83.8500,83.3000,3293043,275482337.8500
2,00003,15.4200,15.4800,15.5600,15.3600,14659074,225836555.8800
3,00004,19.2200,19.0200,19.2200,18.7400,5992020,114106713.7000
4,00005,60.0500,60.0500,60.2000,59.9000,11412179,685237102.6560
5,00006,56.1500,56.3000,56.7000,55.8000,2103828,117913631.7500
6,00007,0.8800,0.8400,0.8800,0.8200,4426000,3818690.0000
7,00008,4.7200,4.7100,4.7400,4.7100,5746096,27156758.0160
8,00009,0.1360,0.1230,0.1360,0.1230,30000,3792.0000
9,00010,20.1000,20.2000,20.3000,19.9200,1587323,31907965.3500
10,00011,170.0000,171.9000,171.9000,169.2000,1160737,197337164.2330
11,00012,39.5000,40.5500,40.5500,39.2000,6228268,246134642.3820
12,00014,31.2500,31.4000,31.6000,30.9000,5570465,173756372.2160
13,00015,0.6000,0.6000,0.6000,0.6000,,
14,00016,120.7000,122.0000,122.3000,120.0000,6230529,752310925.0600
15,00017,11.5000,11.6800,11.6800,11.4000,24060181,276878219.3600
16,00018,0.6000,0.6000,0.6000,0.5900,746000,443000.0000
17,00019,76.6500,76.5000,76.6500,75.5500,1922384,146645183.9500
18,00020,49.7500,50.0000,50.0000,49.3000,1107701,54957372.5500
19,00021,0.1220,0.1220,0.1220,0.1220,,
20,00022,0.1880,0.1880,0.1880,0.1880,,
21,00023,19.0400,19.1800,19.1800,19.0000,784353,14959702.2200
22,00024,0.0710,,,,,
23,00025,11.2600,11.5200,11.5200,11.0200,76000,845560.0000
24,00026,107.0000,108.5000,108.5000,105.5000,7000,751100.0000
25,00027,55.2500,56.0000,56.2000,55.0500,6483650,360019845.4500
26,00028,3.7000,3.7000,3.7000,3.7000,3000,11100.0000
27,00029,11.3000,11.4000,11.4200,11.2600,38000,431800.0000
28,00030,0.3800,0.3800,0.3900,0.3800,11130000,4281310.0000
