,SecuCode,ClosePrice,OpenPrice,HighPrice,LowPrice,VolumeValue,AmountValue
0,00001,68.4500,68.4000,68.7500,68.1000,3732077,255307291.4600
1,00002,82.2500,81.4000,82.4000,81.4000,5093974,416838205.7500
2,00003,14.9600,15.0000,15.0000,14.9400,21224748,317681748.9700
3,00004,19.7000,,,,,
4,00005,56.0500,56.0000,56.3500,56.0000,47023549,2642609574.0160
5,00006,56.4000,56.8000,57.0500,56.2000,2215485,125147746.6500
6,00007,0.7900,0.8000,0.8000,0.7700,6560000,5162340.0000
7,00008,4.7800,4.7800,4.8100,4.7800,6554740,31379437.9720
8,00009,0.1310,0.1350,0.1350,0.1310,198000,26598.0000
9,00010,20.3000,20.1500,20.5500,19.7400,896590,18137146.1600
10,00011,161.5000,162.8000,162.8000,160.6000,1799855,290105202.9340
11,00012,35.6000,35.3500,35.7000,35.2500,5564144,197376282.7840
12,00014,28.3500,28.3500,28.6500,28.1500,1906570,54166739.9000
13,00015,0.5200,0.4900,0.5600,0.4600,158000,81180.0000
14,00016,111.2000,110.2000,111.2000,110.2000,4373081,485524024.6000
15,00017,9.9200,9.9500,9.9500,9.8100,14105789,139451624.5700
16,00018,0.5300,0.5200,0.5300,0.5200,292000,153740.0000
17,00019,71.2500,70.1000,71.6500,70.1000,1045351,74266670.8600
18,00020,47.2500,,,,,
19,00021,0.1190,0.1130,0.1190,0.1120,140000,15780.0000
20,00022,0.1380,0.1340,0.1380,0.1330,240000,32160.0000
21,00023,16.5000,16.5600,16.6800,16.4600,1873239,30930791.6600
22,00024,0.0710,,,,,
23,00025,11.1000,11.1000,11.1000,11.1000,,
24,00026,116.1000,114.0000,116.3000,114.0000,22300,2569510.0000
25,00027,54.6000,53.9000,55.0000,53.4000,6562408,357397434.3000
26,00028,3.1900,3.2400,3.2900,3.1900,51000,165500.0000
27,00029,10.9200,11.0000,11.0000,10.8000,108000,1181520.0000
28,00030,0.3050,0.3000,0.3100,0.2950,1818000,550200.0000
29,00031,0.4450,0.4350,0.4450,0.4350,1156000,507310.0000
30,00032,12.0200,12.0000,12.0600,12.0000,61155,734224.5000
31,00034,9.2800,9.2200,9.2800,9.1700,257768,2380994.0000
32,00035,3.4500,3.4200,3.4600,3.4200,1183395,4076330.5800
33,00036,0.1950,0.1950,0.1950,0.1950,,
34,00037,0.1870,0.1870,0.1870,0.1870,,
35,00038,1.5300,1.5200,1.5500,1.5100,608000,931520.0000
36,00039,0.0770,0.0760,0.0840,0.0720,23680000,1804288.0000
37,00040,0.7600,0.7500,0.7600,0.7400,135000,101870.0000
38,00041,23.3500,23.4500,23.5500,23.2500,191361,4471756.5500
39,00042,0.5100,0.4900,0.5100,0.4900,520000,257360.0000
40,00043,0.6700,0.6700,0.6800,0.6600,1114000,748320.0000
41,00045,8.1700,8.0800,8.2300,8.0800,129500,1057390.0000
42,00046,3.1200,3.0900,3.1200,3.0900,12000,37240.0000
43,00047,0.0920,0.0920,0.0920,0.0920,,
44,00050,6.9000,6.8500,6.9000,6.8400,19000,130300.0000
45,00051,10.3800,10.7000,10.7000,10.2200,22000,229100.0000
46,00052,18.9200,19.0000,19.0800,18.8400,161500,3056610.0000
47,00053,129.3000,129.5000,129.5000,128.5000,7000,903100.0000
48,00055,0.2010,0.2010,0.2010,0.2010,80000,16080.0000
49,00056,1.4800,1.4500,1.4900,1.4500,136000,199960.0000
50,00057,2.2100,2.1300,2.2300,2.1300,414000,905840.0000
51,00058,0.0960,0.0920,0.0960,0.0920,139500,12896.5000
52,00059,1.0100,1.0200,1.0300,1.0100,5868000,5968860.0000
53,00060,0.7600,0.7600,0.7600,0.7600,,
54,00061,0.0280,0.0270,0.0290,0.0270,254000,7028.0000
55,00062,19.2400,19.3600,19.4000,19.2400,169000,3259972.0000
56,00063,0.1990,0.2000,0.2000,0.1800,610000,116425.0000
57,00064,0.1870,0.1910,0.1920,0.1870,3632000,688806.0000
58,00066,43.7000,43.9000,44.1000,43.5000,4935404,215717068.4100
59,00068,3.4800,3.4800,3.4800,3.4800,,
60,00069,7.2200,7.2000,7.3300,7.1500,3234880,23297933.6000
61,00070,0.1720,0.1610,0.1840,0.1610,9008000,1559120.0000
62,00071,14.2200,14.1200,14.2200,14.1000,77000,1089380.0000
63,00075,2.2000,2.2100,2.2100,2.2000,31600,69554.6700
64,00076,0.0190,0.0190,0.0200,0.0180,16028200,302054.4000
65,00077,0.8500,0.8500,0.8500,0.8500,,
66,00078,3.7400,3.6700,3.7500,3.6200,277000,1009050.0000
67,00079,0.2200,0.2200,0.2200,0.2200,,
68,00081,5.4200,5.4600,5.5400,5.3800,4764532,25896722.9200
69,00082,0.1890,0.1890,0.1900,0.1850,349000,65166.0000
70,00083,10.6200,10.7800,10.7800,10.5000,6869043,72733598.3000
71,00084,0.1000,0.0990,0.1000,0.0990,276000,27348.0000
72,00085,0.7500,0.7300,0.7700,0.7300,1342000,1008740.0000
73,00086,3.6500,3.6600,3.6800,3.6400,222000,812740.0000
74,00087,11.2400,11.2000,11.2400,11.1800,1771576,19875773.1200
75,00088,6.1600,6.1800,6.1800,6.1500,24500,150845.0000
76,00089,4.6500,4.6500,4.6500,4.6500,,
77,00091,0.2330,0.2290,0.2330,0.2270,100000,23070.0000
78,00092,0.1290,0.1350,0.1360,0.1200,378000,50064.0000
79,00093,0.3300,0.3300,0.3300,0.3300,,
80,00094,0.2000,0.1950,0.2000,0.1950,150000,29722.0000
81,00097,0.6200,0.6100,0.6200,0.6100,1382887,853571.0700
82,00099,2.5900,2.5900,2.5900,2.5900,,
83,00100,4.7100,4.8200,4.8200,4.7000,183000,864680.0000
84,00101,18.0400,18.2800,18.2800,17.9200,3963056,71372817.4400
85,00102,0.9000,0.8900,0.9000,0.8900,252000,225360.0000
86,00103,0.2280,0.2340,0.2340,0.2270,868000,198864.0000
87,00104,0.4500,0.4500,0.4500,0.4500,,
88,00105,19.0000,19.0000,19.0000,19.0000,,
89,00106,0.7500,0.7400,0.7600,0.7300,908000,670160.0000
90,00107,2.1600,2.1700,2.1800,2.1300,1292000,2796420.0000
91,00108,1.7700,1.9700,1.9800,1.7600,4562000,8536740.0000
92,00109,0.0950,0.0890,0.0950,0.0890,150013,14121.0790
93,00110,0.0780,0.0780,0.0780,0.0780,190000,14820.0000
94,00111,0.3700,0.3700,0.3700,0.3700,,
95,00112,3.4800,3.4800,3.4800,3.4800,,
96,00113,4.6500,4.6500,4.6800,4.6400,36000,167545.0000
97,00114,0.7500,0.7500,0.7500,0.7500,,
98,00115,0.0940,0.0940,0.0940,0.0940,,
99,00116,9.2900,9.0800,9.3000,9.0000,827874,7576836.0800
100,00118,0.3000,0.3000,0.3000,0.3000,,
101,00119,3.0000,2.9600,3.0200,2.9500,5874132,17506878.6800
102,00120,1.3100,1.3900,1.4100,1.2500,1118000,1468860.0000
103,00122,0.4850,0.4800,0.5200,0.4800,1355000,679000.0000
104,00123,1.6200,1.6100,1.6300,1.6100,11939045,19334160.3900
105,00124,1.1900,1.1800,1.2000,1.1400,940000,1090640.0000
106,00125,1.8700,1.8700,1.8700,1.8700,,
107,00126,0.6700,0.6800,0.6900,0.6600,308000,205220.0000
108,00127,5.2800,5.2500,5.2800,5.2500,73000,384655.0000
109,00128,0.6400,0.6400,0.6500,0.6300,1172000,750200.0000
110,00129,1.1800,1.1800,1.1800,1.1600,26000,30280.0000
111,00130,0.4500,0.4500,0.4500,0.4500,,
112,00131,3.1900,3.1900,3.1900,3.1900,,
113,00132,0.2290,0.2180,0.2290,0.2180,15000,3281.0000
114,00133,10.2800,10.2000,10.2800,10.2000,34000,348400.0000
115,00135,5.9200,5.9500,6.0100,5.9100,29014987,172192663.9500
116,00136,0.1010,0.1010,0.1020,0.1000,70888000,7141772.0000
117,00137,0.6800,0.6800,0.6800,0.6800,,
118,00138,0.3500,0.3450,0.3500,0.3450,154000,53810.0000
119,00139,0.0510,0.0520,0.0540,0.0500,29361499,1477121.4510
120,00141,0.4950,0.4950,0.4950,0.4950,,
121,00142,2.2500,2.1800,2.3000,2.1600,4344438,9664340.0400
122,00143,0.0590,0.0570,0.0620,0.0570,1862000,112064.0000
123,00144,12.0600,12.0000,12.1200,12.0000,5022023,60515725.2400
124,00145,0.0710,0.0710,0.0710,0.0710,,
125,00146,1.1900,1.1900,1.1900,1.1900,,
126,00147,0.1900,0.1810,0.1900,0.1800,625000,113150.0000
127,00148,22.2000,21.8000,22.3000,21.7000,1733951,38297039.9000
128,00149,0.0830,0.0750,0.0880,0.0750,91758527,7733136.3500
129,00152,15.2200,15.2200,15.3400,15.1800,3460745,52777832.5800
130,00154,0.6600,0.6600,0.6600,0.6300,57000,36110.0000
131,00155,0.1800,,,,,
132,00156,0.1790,0.1800,0.1820,0.1770,610000,109970.0000
133,00157,0.7400,0.7400,0.7400,0.7400,3860000,2856200.0000
134,00158,194.0000,194.0000,194.0000,194.0000,,
135,00159,0.1350,0.1350,0.1350,0.1350,400000,54000.0000
136,00160,2.9000,2.9000,2.9000,2.9000,,
137,00162,0.1990,0.1850,0.2000,0.1850,68000,12698.0000
138,00163,1.5400,1.5300,1.5400,1.5200,226000,344860.0000
139,00165,13.4000,13.4000,13.5000,13.1200,3064000,40930600.0000
140,00166,0.0690,0.0640,0.0710,0.0630,291000,19844.0000
141,00167,0.0330,0.0300,0.0340,0.0300,828000,24980.0000
142,00168,42.2500,42.6500,42.7500,41.6500,1288176,54336997.7500
143,00169,0.3650,0.3800,0.3800,0.3600,82000,29870.0000
144,00171,1.1300,1.1100,1.1300,1.0900,1178000,1316580.0000
145,00172,0.0800,,,,,
146,00173,3.8300,3.8000,3.8500,3.7900,1242099,4733942.3100
147,00174,0.5900,0.5900,0.5900,0.5900,,
148,00175,15.0400,14.8000,15.0600,14.5600,43815446,652023094.0200
149,00176,0.1970,0.1970,0.1970,0.1970,,
150,00177,9.3600,9.4100,9.5100,9.2800,6535452,61443351.7800
151,00178,1.5900,1.6000,1.6000,1.5300,7445657,11722048.0600
152,00179,18.4600,18.1600,18.6000,18.1000,748250,13738984.5000
153,00180,0.7000,0.7000,0.7000,0.7000,200000,140000.0000
154,00181,0.1900,0.1890,0.1900,0.1890,80000,15160.0000
155,00182,0.3350,0.3350,0.3400,0.3300,3110000,1038350.0000
156,00184,4.5200,4.6000,4.5200,4.5200,10000,45520.0000
157,00185,0.3550,0.3500,0.3550,0.3450,3790000,1321150.0000
158,00186,0.5100,0.5100,0.5100,0.5100,,
159,00187,1.4100,1.4000,1.4100,1.3700,288000,404420.0000
160,00188,0.0520,0.0520,0.0530,0.0510,8890000,461370.0000
161,00190,6.2000,6.2000,6.2000,6.2000,387,2322.0000
162,00191,9.3800,9.4200,9.4200,9.4200,2000,18840.0000
163,00193,0.8500,0.8500,0.8500,0.8500,250,185.0000
164,00194,9.8400,9.8200,9.8500,9.8100,18000,176880.0000
165,00197,0.1510,0.1540,0.1600,0.1500,7525000,1142185.0000
166,00198,2.3400,,,,,
167,00199,1.0900,1.0700,1.1200,1.0700,138000,150980.0000
168,00200,17.2400,16.8800,17.4200,16.8000,2256160,38894247.2000
169,00201,0.1480,0.1480,0.1480,0.1480,,
170,00202,0.2000,0.2000,0.2000,0.2000,,
171,00204,0.1100,0.0930,0.1100,0.0900,414000,39670.0000
172,00205,0.0170,0.0170,0.0170,0.0170,,
173,00207,0.7700,0.7700,0.7800,0.7600,1006660,772698.2000
174,00208,0.9400,0.9300,0.9400,0.9300,230000,216100.0000
175,00209,0.0210,,,,,
176,00210,0.1220,0.1230,0.1250,0.1200,714000,86820.0000
177,00211,0.0290,0.0280,0.0290,0.0280,5487458,153614.0760
178,00212,48.9500,48.9500,48.9500,48.9500,,
179,00213,1.1000,1.1000,1.1000,1.1000,,
180,00214,1.2000,1.2000,1.2000,1.2000,,
181,00216,2.0900,2.0900,2.0900,2.0100,20000,41480.0000
182,00217,0.2190,0.2090,0.2190,0.2080,154000,32132.0000
183,00218,1.1800,1.1900,1.1900,1.1800,80000,94700.0000
184,00219,1.9100,1.9100,1.9100,1.9000,14000,26680.0000
185,00221,0.4500,0.4550,0.4550,0.4400,54100,23987.4250
186,00222,3.1000,3.1000,3.1000,3.1000,,
187,00223,0.0890,0.0830,0.0890,0.0830,520000,43860.0000
188,00224,1.5000,1.5000,1.5000,1.5000,,
189,00225,14.2000,14.2000,14.2000,14.2000,,
190,00226,2.7000,2.6100,2.7500,2.6100,25000,67100.0000
191,00227,0.4000,0.4000,0.4000,0.4000,64000,25600.0000
192,00228,0.1880,0.1850,0.2000,0.1850,3824000,717874.0000
193,00229,0.8600,0.8600,0.8600,0.8600,,
194,00230,1.3500,1.3400,1.3600,1.3200,1283000,1723020.0000
195,00231,0.0500,0.0500,0.0510,0.0500,2960000,150080.0000
196,00232,0.1560,0.1560,0.1580,0.1560,4210000,660172.0000
197,00234,0.1220,0.1240,0.1250,0.1220,576000,71424.0000
198,00235,0.0310,0.0310,0.0320,0.0300,1880000,58200.0000
199,00236,0.9200,0.9200,0.9200,0.9200,,
200,00237,12.0200,12.0000,12.0200,12.0000,10000,120160.0000
201,00239,2.4900,2.4800,2.5000,2.4800,17500,43450.0000
202,00240,0.8400,0.8100,0.8400,0.8100,177000,145730.0000
203,00241,14.4200,14.0000,14.6200,13.8800,35070210,503505733.7000
204,00242,3.2800,3.3000,3.3700,3.2700,5357770,17706900.9400
205,00243,0.0330,0.0310,0.0330,0.0310,1008000,33066.0000
206,00244,0.2550,0.2550,0.2700,0.2550,43000,11010.0000
207,00245,0.0970,0.0980,0.0990,0.0960,4210800,408503.8000
208,00247,24.8000,24.8000,24.8000,24.8000,,
209,00248,0.0670,0.0670,0.0670,0.0670,,
210,00250,0.0450,0.0470,0.0500,0.0450,6350000,291400.0000
211,00251,6.4000,6.5600,6.6100,6.3300,84000,543180.0000
212,00252,3.3000,3.3000,3.3000,3.3000,,
213,00253,1.3900,1.3900,1.3900,1.3900,,
214,00254,0.1420,,,,,
215,00255,2.5500,2.5000,2.5500,2.5000,28000,70200.0000
216,00256,1.6500,1.6500,1.6500,1.6200,948000,1555980.0000
217,00257,5.4000,5.3100,5.4000,5.3100,16319300,87525865.4500
218,00258,2.1700,2.1500,2.1700,2.1200,178000,381820.0000
219,00259,1.4400,1.2600,1.4600,1.2600,632000,886500.0000
220,00260,0.0290,0.0290,0.0290,0.0280,600000,16880.0000
221,00261,0.0100,0.0100,0.0100,0.0100,,
222,00262,0.1710,0.1710,0.1710,0.1710,,
223,00263,0.2200,0.2200,0.2200,0.2200,3600,676.8000
224,00264,1.4200,1.4200,1.4200,1.4200,,
225,00265,0.1000,0.1000,0.1000,0.1000,30000,3000.0000
226,00266,7.0400,7.0400,7.0400,7.0400,,
227,00267,8.9800,9.2200,9.4200,8.9100,12297921,110963165.3100
228,00269,0.0110,0.0110,0.0110,0.0100,15665000,158015.0000
229,00270,15.1800,15.4800,15.5600,15.1000,9298712,142261898.0800
230,00271,1.2600,1.2600,1.2600,1.2600,,
231,00273,0.0440,0.0420,0.0440,0.0420,2580000,109740.0000
232,00274,0.0140,0.0140,0.0140,0.0130,15715000,213860.0000
233,00275,0.2600,,,,,
234,00276,0.0730,0.0750,0.0750,0.0710,422803,30228.9600
235,00277,4.4000,4.4000,4.4000,4.4000,,
236,00278,6.6000,6.6000,6.6000,6.6000,4000,26400.0000
237,00279,0.0970,0.1020,0.1020,0.0960,1002000,96348.0000
238,00280,0.3300,0.3250,0.3400,0.3250,148000,48840.0000
239,00281,0.4700,0.4750,0.4750,0.4700,578000,274200.0000
240,00282,0.2500,0.2480,0.2550,0.2460,2277884,567936.6600
241,00286,0.5100,0.5100,0.5100,0.4900,6860150,3427182.0000
242,00287,9.7000,9.7000,9.7000,9.7000,,
243,00289,21.4000,21.3500,21.4000,21.3500,24000,513100.0000
244,00290,0.0520,0.0500,0.0520,0.0500,13664000,692000.0000
245,00291,37.4000,36.9500,37.5500,36.7500,8216223,306347313.5700
246,00292,0.2550,0.2550,0.2550,0.2550,359903,91626.7200
247,00293,10.2600,10.3000,10.3000,9.8200,3490475,35338321.5400
248,00294,2.8000,2.8000,2.8000,2.8000,,
249,00295,0.0780,0.0800,0.0800,0.0780,1625000,128625.0000
250,00296,1.3500,1.3300,1.3800,1.3300,245000,332900.0000
251,00297,0.8100,0.7900,0.8400,0.7900,7726000,6336260.0000
252,00298,0.4400,0.4350,0.4400,0.4350,460000,200150.0000
253,00299,0.7000,0.6700,0.7000,0.6500,1538000,1026190.0000
254,00303,69.7000,69.4000,69.9500,68.7000,371140,25773564.0000
255,00305,0.2600,0.2600,0.2650,0.2600,1200000,315700.0000
256,00306,2.6600,2.6600,2.6600,2.6600,,
257,00307,0.1290,,,,,
258,00308,1.2500,1.2200,1.2700,1.2100,5658000,7040520.0000
259,00309,0.0970,0.0970,0.0970,0.0970,,
260,00310,0.0210,0.0210,0.0210,0.0210,195000,4095.0000
261,00311,0.6400,0.6000,0.6600,0.6000,77000,48590.0000
262,00313,0.0100,0.0100,0.0100,0.0100,20000,200.0000
263,00315,5.7700,5.7600,5.7900,5.7300,735656,4244534.5900
264,00316,34.2000,34.2000,34.2500,33.7500,6600,224925.0000
265,00317,5.0800,5.1300,5.1300,5.0000,1118800,5661324.0000
266,00318,0.3400,0.3500,0.3550,0.3400,32500,11350.0000
267,00321,1.6800,1.7000,1.7200,1.6800,1248000,2118580.0000
268,00322,14.3400,14.1400,14.4800,14.0600,6589199,94080386.9800
269,00323,2.9500,2.9400,2.9500,2.8500,6626875,19231842.5000
270,00326,1.5300,1.5300,1.5300,1.5300,,
271,00328,0.3200,0.3100,0.3200,0.3100,90000,28380.0000
272,00329,1.0300,1.0300,1.0300,1.0300,,
273,00330,1.3800,1.3500,1.3800,1.3300,2014667,2740355.7500
274,00332,0.4650,0.4600,0.4750,0.4550,937000,427220.0000
275,00333,1.0200,0.9900,1.0200,0.9900,518000,517920.0000
276,00334,0.5700,0.5600,0.5700,0.5300,4176000,2306960.0000
277,00335,0.9600,0.9500,0.9600,0.9300,78000,73340.0000
