,SecuCode,ClosePrice,OpenPrice,HighPrice,LowPrice,VolumeValue,AmountValue
0,00001,69.3500,70.0000,70.5000,69.1500,2911529,202882195.2890
1,00002,81.4500,81.8000,81.8000,81.1500,2893299,235510476.4250
2,00003,15.4600,15.6200,15.6200,15.4200,11875760,183956282.2640
3,00004,16.6000,16.7000,16.7800,16.4000,11716592,194600243.4400
4,00005,59.5000,59.8000,60.5000,59.4500,14643542,876743459.6500
5,00006,52.6000,53.3000,53.3000,52.5000,1145881,60409561.5000
6,00007,0.8500,0.8600,0.8600,0.8200,1562000,1309840.0000
7,00008,4.3700,4.3700,4.3700,4.3400,3063431,13336085.7000
8,00009,0.1200,0.1190,0.1200,0.1160,630000,74004.0000
9,00010,19.4000,19.8000,19.8200,19.3200,342429,6695968.0800
10,00011,170.8000,174.7000,174.7000,170.6000,759273,130230281.4420
11,00012,37.5000,38.2000,38.2500,37.2500,4538101,170202159.2600
12,00014,31.0000,31.2000,31.5500,30.6500,1235456,38276663.2380
13,00015,0.6400,0.6400,0.6400,0.6400,,
14,00016,113.6000,115.2000,115.2000,113.2000,2704397,307849919.0900
15,00017,10.0200,10.1200,10.1800,9.9200,17153919,171882298.0700
16,00018,0.6100,0.5900,0.6100,0.5900,6000,3620.0000
17,00019,72.9000,74.4000,74.4000,72.8000,1592705,116774810.2000
18,00020,44.7000,44.9000,44.9000,44.3000,587530,26204061.5000
19,00021,0.1180,0.1290,0.1290,0.1170,386000,46110.0000
20,00022,0.2000,0.2000,0.2000,0.2000,80000,16000.0000
21,00023,19.5000,19.6800,19.6800,19.3800,1158967,22583559.6000
22,00024,0.0710,,,,,
23,00025,11.2200,11.2200,11.2200,11.2200,,
24,00026,97.3500,97.6000,97.6000,97.3500,3200,311930.0000
25,00027,50.0500,51.0000,51.5000,49.8000,6456445,324073443.6500
26,00028,3.6300,3.6900,3.6900,3.6000,56000,203880.0000
27,00029,13.7000,14.0000,14.0000,13.4000,112828,1563578.0000
28,00030,0.2700,0.2700,0.2750,0.2650,2676000,726030.0000
29,00031,0.4400,0.4400,0.4400,0.4350,58000,25280.0000
30,00032,11.7800,11.7400,11.9800,11.7000,95250,1129450.0000
31,00034,9.3100,9.2000,9.3200,9.1600,284000,2635120.0000
32,00035,3.2500,3.3100,3.3100,3.2500,919000,3012303.2000
33,00036,0.2340,0.2300,0.2340,0.2300,54000,12540.0000
34,00037,0.2150,0.2150,0.2150,0.2150,,
35,00038,1.6900,1.7000,1.7200,1.6800,200000,338800.0000
36,00039,0.0680,0.0670,0.0730,0.0660,26696000,1847040.0000
37,00040,0.8000,0.8000,0.8000,0.8000,135,99.9000
38,00041,26.7000,26.8500,26.9000,26.5500,2394259,63832596.7500
39,00042,0.6000,0.6000,0.6000,0.6000,58000,34800.0000
40,00043,0.6700,0.6700,0.6800,0.6600,2208000,1477980.0000
41,00045,7.7700,7.8400,7.9700,7.7600,722990,5660739.3000
42,00046,3.3000,3.3000,3.3000,3.3000,10000,33000.0000
43,00047,0.1180,0.1150,0.1210,0.1110,264000,30444.0000
44,00050,7.1100,7.1100,7.1300,7.1000,16000,113710.0000
45,00051,13.0000,13.0000,13.1800,13.0000,6000,78180.0000
46,00052,22.2500,22.8000,22.8000,22.1500,216100,4812620.0000
47,00053,122.7000,122.7000,122.7000,122.7000,1000,122700.0000
48,00055,0.2650,0.2500,0.2650,0.2500,50000,12750.0000
49,00056,1.7300,1.7600,1.7600,1.7300,90000,156340.0000
50,00057,2.8300,2.8300,2.8300,2.8300,,
51,00058,0.0890,0.0890,0.0890,0.0890,,
52,00059,1.0900,1.0900,1.1000,1.0700,8470000,9235120.0000
53,00060,0.8600,0.8600,0.8600,0.8600,,
54,00061,0.0210,0.0200,0.0210,0.0190,25897500,517852.5000
55,00062,19.6800,19.7400,19.7400,19.6400,94400,1858176.0000
56,00063,0.2600,0.2550,0.2600,0.2500,1417000,357790.0000
57,00064,0.2420,0.2420,0.2440,0.2410,434184,104991.2400
58,00066,45.5000,46.2500,46.2500,45.0000,3331507,151515144.1960
59,00068,3.7200,3.7200,3.7200,3.7200,,
60,00069,8.1200,8.1000,8.1300,8.0700,4344000,35222280.0000
61,00070,0.1730,0.1700,0.1700,0.1690,222000,37678.0000
62,00071,14.3200,14.5000,14.5400,14.3200,26000,375160.0000
63,00075,2.2900,2.2900,2.2900,2.2900,36000,82640.0000
64,00076,0.0490,0.0430,0.0500,0.0410,48044400,2269313.2000
65,00077,0.9000,0.9000,0.9000,0.9000,40000,36000.0000
66,00078,4.1600,4.1200,4.1700,4.0900,178000,730520.0000
67,00079,0.2500,0.2500,0.2500,0.2500,,
68,00081,3.7200,3.8200,3.8200,3.7100,5529000,20774534.0000
69,00082,0.2190,0.2200,0.2300,0.2140,10368000,2278948.0000
70,00083,11.6600,11.6000,11.7600,11.6000,3752807,43751746.6300
71,00084,0.1100,0.1110,0.1210,0.1080,788000,86057.0000
72,00085,0.7000,0.7000,0.7000,0.7000,90000,63000.0000
73,00086,3.3800,3.4100,3.4100,3.3700,475000,1606020.0000
74,00087,11.5200,11.8000,11.8000,11.4200,785965,9120775.0400
75,00088,6.4000,6.4000,6.4000,6.4000,,
76,00089,4.6800,4.7200,4.7200,4.6800,17000,80100.0000
77,00091,0.1590,0.1660,0.1690,0.1570,614375,100447.8110
78,00092,0.1590,0.1420,0.1420,0.1420,60000,8520.0000
79,00093,0.3350,0.3350,0.3350,0.3350,,
80,00094,0.2600,0.2600,0.2600,0.2600,,
81,00097,0.6400,0.6300,0.6400,0.6300,273791,173624.6000
82,00099,2.6900,2.6900,2.6900,2.6900,,
83,00100,3.9300,3.9300,3.9300,3.9300,,
84,00101,17.7000,17.9400,17.9400,17.6000,1753653,31047849.1400
85,00102,1.2600,1.3000,1.3000,1.2300,9136000,11473580.0000
86,00103,0.1520,0.1520,0.1520,0.1520,,
87,00104,0.4650,0.4650,0.4650,0.4650,5000,2325.0000
88,00105,21.7000,21.7000,21.7000,21.7000,,
89,00106,0.8700,0.8600,0.8800,0.8600,444000,384880.0000
90,00107,2.3700,2.3600,2.3800,2.3400,572000,1350380.0000
91,00108,1.2200,1.1800,1.2200,1.1700,2344000,2781600.0000
92,00109,0.1440,0.1540,0.1550,0.1440,400000,60900.0000
93,00110,0.0980,0.0980,0.0980,0.0980,,
94,00111,0.4250,0.4350,0.4350,0.4250,180000,78100.0000
