,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,257982489450.0000,0.0011,6.6149,0.9309,0.4444,-12.0137,4.7389,4.7384
1,00002,2526450570,205147786284.0000,0.0019,44.0515,2.3941,1.7192,172.8288,3.7931,3.7931
2,00003,16925052244,253875783660.0000,0.0010,27.2610,6.4975,3.4663,-119.4035,2.2606,2.3333
3,00004,3049427327,53486955315.5800,0.0029,8.0759,2.5403,0.3662,-1.9870,3.7030,3.7033
4,00005,20657175784,1085534587449.2000,0.0022,18.9282,1.9676,0.8134,-5.1887,7.4897,7.5385
5,00006,2134261654,117704530218.1000,0.0013,15.4144,75.6942,1.4236,-6.0842,5.0771,5.0771
6,00007,4000000000,3200000000.0000,0.0016,20.0023,3.3953,0.9992,-16.7798,0.0000,0.0000
7,00008,7719638249,35973514240.3400,0.0013,52.8245,0.9588,2.0016,-7.4203,6.7039,6.7618
8,00009,3568790629,499630688.0600,0.0000,-1.4112,6.1073,0.5282,-6.7692,0.0000,0.0000
9,00010,1361618242,27123435380.6400,0.0005,3.9794,2.8748,0.1713,-19.1821,4.0161,4.0161
10,00011,1911842736,297100361174.4000,0.0030,11.9606,4.6905,1.7772,-878.9952,5.2767,5.2767
11,00012,4841387003,173563724057.5500,0.0006,5.5706,7.8957,0.5434,-23.9497,4.8941,5.0209
12,00014,1043600891,29742625393.5000,0.0019,6.1388,7.4580,0.3673,849.7893,5.0553,5.0553
13,00015,1683146400,841573200.0000,0.0000,1.1945,0.2374,0.1877,11.7782,4.0000,4.0000
14,00016,2897780274,315858049866.0000,0.0017,7.0328,3.7028,0.5454,-273.7071,4.5411,4.5413
15,00017,10232397800,101812358110.0000,0.0025,5.6064,1.3263,0.3673,185.5520,5.1222,5.1230
16,00018,2397917898,1246917306.9600,0.0001,15.3207,1.3828,0.6899,-1.7263,5.7692,3.8462
17,00019,905206000,62957077300.0000,0.0076,2.6644,0.7441,0.1908,18.7875,4.3134,4.5291
18,00020,2052849287,127379298258.3500,0.0018,7.3890,2.6269,0.3166,-5.0401,2.4923,2.5330
19,00021,3975233406,477028008.7200,0.0000,11.4362,5.4687,0.5366,-108.3908,0.0000,0.0000
20,00022,1966387866,271361525.5080,,214.1764,3.7587,0.4848,37.2034,0.0000,0.0000
21,00023,2906471326,48479941717.6800,0.0004,14.8711,2.4629,0.4422,-87.5089,2.7556,2.7556
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,3321212840.0000,0.0001,5.0740,0.4818,0.3415,16.6870,4.5455,5.0000
24,00026,45308056,5663507000.0000,0.0005,4.0706,64.0545,0.6016,18.7032,17.0400,31.4400
25,00027,4334826255,223677034758.0000,0.0036,17.1511,4.3096,3.0163,-116.7215,1.7632,1.7632
26,00028,1500647491,4637000747.1900,0.0000,3.7060,1.4087,0.1815,-2.3486,6.4989,6.4989
27,00029,237703681,2619494564.6200,0.0002,53.7553,24.6643,1.2455,224.3486,0.6245,0.5445
28,00030,6448152160,1966686408.8000,0.0000,44.4230,2.1610,2.5340,-29.5834,0.0000,0.0000
29,00032,372688206,4509527292.6000,0.0006,10.0796,7.0358,0.6156,-2.6096,3.3058,3.3058
30,00034,1176631296,10942671052.8000,0.0002,4.9891,3.8498,0.3512,-12.7579,7.7419,7.9570
31,00035,2380992209,8262042965.2300,0.0007,4.8213,1.2075,0.5289,-15.5304,6.2159,6.2323
32,00036,1089118593,197130465.3330,0.0007,-1.8598,23.0643,0.1584,-43.8457,0.0000,0.0000
33,00037,610710675,112981474.8750,0.0002,-11.7745,2.1570,0.4186,40.1893,0.0000,0.0000
34,00038,391940000,638862200.0000,0.0028,-1.0602,0.2426,0.3059,-0.8274,0.0000,0.0000
35,00039,6225125683,485559803.2740,0.0005,104.4215,0.3832,0.2992,-8.0830,0.0000,0.0000
36,00040,784692952,596366643.5200,,9.7070,0.0881,0.2643,1.4504,5.5263,5.9211
37,00041,708382048,16257368001.6000,0.0006,-48.1286,1.7601,0.1808,7.5921,3.5720,3.5922
38,00042,257950000,128975000.0000,0.0011,25.6633,11.5929,21.1647,4.9103,0.0000,0.0000
