,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,200717318025.0000,0.0031,5.0394,0.6712,0.3362,-107.3929,6.0903,6.0903
1,00002,2526450570,197189466988.5000,0.0013,42.3426,2.3012,1.6525,341.7495,3.9462,3.9462
2,00003,17771304856,222852162894.2400,0.0015,31.9928,5.4852,2.9557,-370.0019,2.7455,2.7455
3,00004,3049427327,47632054847.7400,0.0016,14.0674,2.8228,0.3255,6.0104,2.0797,2.0797
4,00005,20691320413,771786251404.9000,0.0028,13.4575,1.3989,0.5022,-4.8633,10.5344,4.1740
5,00006,2134261654,94547791272.2000,0.0015,13.2587,70.1393,1.1059,-47.4638,6.3205,6.3205
6,00007,4000000000,2840000000.0000,0.0002,4.1906,5.2788,0.7734,-167.1473,0.0000,0.0000
7,00008,7729638249,34551482973.0300,0.0015,50.7364,0.9209,1.9225,-24.9469,7.1964,7.1964
8,00009,3568790629,296209622.2070,0.0000,-1.0251,7.4203,0.4246,-16.7786,0.0000,0.0000
9,00010,1361618242,22439468628.1600,0.0009,3.2922,2.3783,0.1417,-3.2455,6.5534,6.5534
10,00011,1911842736,247583634312.0000,0.0031,9.9671,3.9087,1.4810,-49.9362,6.3320,7.1815
11,00012,4841387003,143062985938.6500,0.0013,8.4184,5.9156,0.4397,-48.5288,6.0914,6.0914
12,00014,1041900891,25682856963.1500,0.0020,5.3009,6.4400,0.3172,16.8082,5.8544,5.8544
13,00015,1683146400,681674292.0000,0.0000,0.9676,0.1923,0.1520,9.5403,4.9383,4.9383
14,00016,2897780274,290647361482.2000,0.0017,6.4715,3.4073,0.5019,-251.8608,4.9349,4.9352
15,00017,10194570725,94197833499.0000,0.0021,5.1871,1.2271,0.3398,171.6746,5.5363,5.5372
16,00018,2397917898,1091052643.5900,0.0001,13.4056,1.2100,0.6036,-1.5105,6.5934,4.3956
17,00019,905206000,40372187600.0000,0.0068,4.4823,0.4714,0.1225,3.2669,6.7265,6.7265
18,00020,2052849287,123684169541.7500,0.0008,13.4835,2.5492,0.3141,15.1667,2.6123,2.6123
19,00021,3975233406,373671940.1640,0.0000,-105.2894,13.2180,0.3967,388.8366,0.0000,0.0000
20,00022,1966387866,216302665.2600,,170.7203,2.9961,0.3864,29.6549,0.0000,0.0000
21,00023,2914783467,53748607131.4800,0.0010,16.4873,2.7306,0.4902,5.8277,2.4855,2.4855
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,3073631519.2000,,4.6957,0.4459,0.3160,15.4431,4.9116,5.4028
24,00026,45308056,4252161055.6000,0.0002,3.0562,48.0921,0.4517,14.0424,22.6958,41.8753
25,00027,4335518812,236068999313.4000,0.0033,18.1013,4.5484,3.1835,-31.3612,1.6706,1.6706
26,00028,1500647491,5177233843.9500,0.0001,3.8466,2.3301,0.2023,7.5809,5.7971,5.7971
27,00029,237703681,2928509349.9200,0.0005,60.0966,27.5739,1.3925,250.8144,0.5586,0.4870
28,00030,6448152160,1612038040.0000,0.0001,36.4123,1.7713,2.0771,-24.2487,0.0000,0.0000
29,00032,372688206,4099570266.0000,0.0001,5.6367,5.8907,0.5464,10.1299,3.8182,3.8182
30,00034,1176631296,10825007923.2000,0.0003,4.4189,0.9313,0.3456,4.9041,7.8261,8.0435
31,00035,2350646209,5594537977.4200,0.0004,3.2647,0.8176,0.3581,-10.5162,9.1797,9.2038
32,00036,1089118593,119803045.2300,0.0001,-0.9054,3.0152,0.1035,4.1113,0.0000,0.0000
33,00037,610710675,73285281.0000,0.0002,-7.6375,1.3991,0.2715,26.0687,0.0000,0.0000
34,00038,391940000,776041200.0000,0.0068,28.8434,0.3041,0.3597,-11.1668,0.0000,0.0000
35,00039,6225125683,292580907.1010,0.0012,-1.0052,0.3754,0.2380,4.7155,0.0000,0.0000
36,00040,784692952,494356559.7600,0.0000,8.0466,0.0730,0.2191,1.2023,6.6667,7.1429
37,00041,708382048,13600935321.6000,0.0007,-40.2645,1.4725,0.1513,6.3898,6.9270,6.9270
