,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,276106819800.0000,0.0015,7.0797,0.9963,0.4757,-12.8577,4.4278,4.4274
1,00002,2526450570,202873980771.0000,0.0014,14.9722,2.2190,1.6920,170.9132,3.7609,3.8356
2,00003,16925052244,253537282615.1200,0.0012,27.2246,6.4888,3.4617,-119.2443,2.2636,2.3364
3,00004,3049027327,55004452979.0800,0.0011,8.3051,2.6124,0.3766,-2.0434,3.6009,3.6011
4,00005,20637625050,1194918490395.0000,0.0008,11.0921,2.3945,0.7708,-5.7116,6.8041,6.8484
5,00006,2134261654,117917956383.5000,0.0013,15.4424,75.8315,1.4262,-6.0952,5.0679,5.0679
6,00007,4000000000,3400000000.0000,0.0004,21.2524,3.6075,1.0617,-17.8285,0.0000,0.0000
7,00008,7719638249,35433139562.9100,0.0008,39.5018,0.9120,1.9788,-7.3088,6.8061,6.8649
8,00009,3568790629,417548503.5930,0.0001,-1.1793,5.1039,0.4415,-5.6571,0.0000,0.0000
9,00010,1361618242,26333696800.2800,0.0014,4.9827,2.6294,0.1713,-18.6235,4.1365,4.1365
10,00011,1911842736,306850759128.0000,0.0013,12.6740,5.5356,1.9048,-907.8425,4.6729,4.8598
11,00012,4841387003,182520290013.1000,0.0007,5.8581,8.3032,0.5714,-25.1856,4.6540,4.7745
12,00014,1044700891,30975381418.1500,0.0036,5.1343,7.9628,0.3902,885.0109,4.8649,4.8650
13,00015,1683146400,993056376.0000,0.0000,1.4096,0.2802,0.2190,13.8982,3.3898,3.3898
14,00016,2897780274,319335386194.8000,0.0017,7.1102,3.7436,0.5546,-276.7204,4.4916,4.4916
15,00017,10228714055,105764903328.7000,0.0013,5.8240,1.3778,0.3841,192.7554,4.9308,4.9308
16,00018,2397917898,1390792380.8400,0.0000,17.0884,1.5424,0.7695,-1.9255,5.1724,5.1724
17,00019,905206000,63681242100.0000,0.0022,2.6950,0.7527,0.1929,19.0037,4.2644,4.4776
18,00020,2048549287,98944930562.1000,0.0005,5.7396,2.0405,0.2459,-3.9150,3.2085,3.2609
19,00021,3975233406,484978475.5320,0.0001,11.6268,5.5599,0.5456,-110.1973,0.0000,0.0000
20,00022,1966387866,359848979.4780,0.0002,284.0166,4.9844,0.6429,49.3349,0.0000,0.0000
21,00023,2906471326,51967707308.8800,0.0004,7.9840,3.0440,0.4950,-93.8045,6.4240,4.2818
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,3357444252.8000,,5.1293,0.4871,0.3482,16.8690,4.4964,4.4964
24,00026,45308056,5151525967.2000,0.0001,3.7026,58.2640,0.5099,17.0125,18.7335,18.7335
25,00027,4332947865,225746583766.5000,0.0019,16.7128,4.0888,3.2693,-117.8015,1.8201,1.7459
26,00028,1506769491,5288760913.4100,0.0002,4.2269,1.6067,0.2070,-2.6787,5.6980,5.6980
27,00029,237703681,2695559742.5400,0.0001,55.3162,25.3805,1.2640,230.8633,0.6068,0.6068
28,00030,6448152160,2256853256.0000,0.0021,50.9772,2.4798,2.9503,-33.9481,0.0000,0.0000
29,00032,372688206,4464804707.8800,0.0002,9.9796,6.9661,0.6095,-2.5837,3.3389,3.3389
30,00034,1176631296,11060334182.4000,0.0001,5.0428,3.8911,0.3550,-12.8950,7.6596,7.8723
31,00035,2379339335,8303894279.1500,0.0001,4.8457,1.2136,0.6091,-15.6091,6.1846,6.1846
32,00036,1089118593,234160497.4950,,-2.2092,27.3968,0.1882,-52.0820,0.0000,0.0000
33,00037,610710675,123974267.0250,0.0001,-12.9201,2.3669,0.4349,44.0996,0.0000,0.0000
34,00038,391940000,631023400.0000,0.0011,-1.0472,0.2396,0.3021,-0.8173,0.0000,0.0000
35,00039,6225125683,529135683.0550,0.0121,113.7926,0.4176,0.3260,-8.8084,0.0000,0.0000
36,00040,784692952,651295150.1600,0.0003,10.6010,0.0962,0.2920,1.5840,5.0602,5.0602
37,00041,708374048,18559400057.6000,0.0003,3.1940,1.8274,0.1963,8.6671,3.1289,3.1466
38,00042,257950000,147031500.0000,0.0000,29.2562,13.2159,24.1277,5.5977,0.0000,0.0000
39,00043,24071837232,15887412573.1200,0.0000,7.1873,0.3017,1.2402,16.8865,6.5152,5.1515
40,00045,1634422891,14252167609.5200,0.0001,11.4659,2.2936,0.3618,-25.7259,2.3750,2.2683
41,00046,249488384,775908874.2400,,11.4057,2.7571,1.6229,12.8479,6.7524,6.7524
42,00047,10070431786,1057395337.5300,0.0001,8.6243,0.4454,2.0461,-17.7711,5.8095,5.8095
43,00050,356273883,2515293613.9800,0.0001,7.2983,2.3107,0.4110,-1.8276,5.3824,5.3824
44,00051,708750000,8887725000.0000,0.0000,10.6952,5.6145,0.4900,-58.0897,2.3923,2.3923
45,00052,129532780,2642468712.0000,0.0009,14.6847,0.8896,3.3979,50.8392,5.7718,5.7718
46,00053,329051373,41822429508.3000,0.0000,12.3591,2.3826,0.5135,-18.8857,3.1471,3.1471
47,00055,253639456,59858911.6160,0.0010,-1.5785,0.1010,0.0651,-9.1188,0.0000,0.0000
48,00056,6812201460,10695156292.2000,0.0001,4.5639,2.1758,0.2220,3.8808,5.0955,5.0955
49,00057,630531600,1576329000.0000,0.0002,17.4606,0.9636,0.5699,17.8201,2.8000,2.8000
50,00058,748936324,70400014.4560,,-1.3940,0.1698,0.2376,-1.3894,0.0000,0.0000
51,00059,7942893137,8181179931.1100,0.0005,9.2904,1.1273,2.1186,-12.5885,2.2286,2.2286
52,00060,259586000,207668800.0000,,1.1043,1.3744,0.3188,1.9274,0.0000,0.0000
53,00061,8773232014,254423728.4060,0.0000,-0.2152,0.2532,11.4020,-2.7671,0.0000,0.0000
54,00062,446941011,8983514321.1000,0.0001,12.4759,1.1216,0.8660,-9.2062,5.7992,5.8396
55,00063,2819102084,662488989.7400,0.0000,-7.4586,40.0804,3.4966,-12.5915,0.0000,0.0000
56,00064,9662705938,2241747777.6160,0.0002,11.4914,3.9895,0.3380,-9.2105,8.6207,8.6207
57,00066,6157649911,266626241146.3000,0.0006,16.6558,4.9439,1.4770,-58.7412,2.7606,2.7655
58,00068,146781285,546026380.2000,,-0.4573,40.8672,0.4609,356.4141,2.0161,0.6720
59,00069,3585525056,30082555219.8400,0.0014,19.8661,1.5220,0.5878,19.2584,2.6222,2.6222
60,00070,692436675,96248697.8250,0.0002,2.2605,0.8034,0.0808,-0.1882,0.0000,0.0000
61,00071,690959695,10405853006.7000,0.0002,6.4069,3.2528,0.5285,6.2760,4.0505,4.0505
62,00075,799557415,1759026313.0000,0.0000,21.3710,34.7517,1.0651,137.3274,0.4545,0.4545
63,00076,5482709078,312514417.4460,0.0006,5.7647,0.3467,0.1070,5.3692,0.0000,0.0000
64,00077,271913000,247440830.0000,,-5.7201,0.6297,1.9313,-45.8139,8.7912,8.7912
65,00078,898782333,3640068448.6500,0.0004,6.6461,1.3925,0.2311,-3.4308,4.6914,4.5679
66,00079,326077423,81519355.7500,,-6.3326,3.1235,0.2193,-5.3031,0.0000,0.0000
67,00082,4213395262,842679052.4000,0.0005,-1.3013,0.2492,0.7945,-2.6526,0.0000,0.0000
68,00083,6816991049,78940756347.4200,0.0008,11.4160,9.8554,0.5401,9.0886,4.7395,4.7395
69,00084,1046474025,141273993.3750,,-4.0889,0.0969,0.1533,-1.0004,0.0000,0.0000
70,00086,2000497493,6961731275.6400,0.0001,5.8808,1.5185,0.3062,2.6604,7.7432,7.4834
71,00087,2981870000,33396944000.0000,0.0007,1.4134,0.3947,0.1012,9.9663,5.3571,5.6250
72,00088,617531425,3822519520.7500,0.0002,16.5048,10.3760,0.5394,7.0422,5.6543,5.6543
73,00089,287669676,1297390238.7600,,2.6327,3.6820,0.1625,473.9334,4.8780,4.8780
74,00091,727515029,150595611.0030,0.0006,-0.2839,16.5326,-0.5549,-3.8450,0.0000,0.0000
75,00092,683830848,100523134.6560,,-1.3927,0.2606,0.8143,4.7172,0.0000,0.0000
76,00093,1957643050,646022206.5000,,-32.4961,21.1160,0.6841,-19.3826,0.0000,0.0000
77,00094,1854991056,359868264.8640,0.0000,-6.3268,0.8426,0.4665,-21.9727,0.0000,0.0000
78,00097,3047327395,1889342984.9000,0.0006,19.4778,1.2629,1.4411,-8.8702,6.4516,6.4516
79,00099,478483794,1301475919.6800,,0.9154,0.3243,0.2586,981.5052,3.4926,3.3088
80,00100,541700500,2118048955.0000,0.0018,8.2117,1.0053,0.8053,13.3914,4.3478,4.3478
81,00101,4497718670,73222859947.6000,0.0014,9.0645,7.7830,0.5076,-50.6032,4.6069,4.6069
82,00102,1803777836,1930042284.5200,0.0007,253.5859,4.1672,1.1432,21.1597,0.0000,0.0000
83,00104,747123220,339941065.1000,,4.8245,0.3638,0.6499,52.5087,11.5262,11.5262
84,00105,360000000,6984000000.0000,,47.0351,11.4382,0.5134,-881.5956,5.9278,5.9278
85,00106,4722307545,3919515262.3500,0.0000,3.0051,0.4423,0.6854,1.7367,5.4217,5.4217
86,00107,895320000,2059236000.0000,0.0010,7.0936,0.8836,0.3903,6.3935,4.9480,4.9480
87,00108,3199373986,3839248783.2000,0.0004,400.7985,10.6267,1.1146,-10.6532,0.0000,0.0000
88,00109,7088223998,722998847.7960,,13.3592,8.5395,0.2587,-0.5472,0.0000,0.0000
89,00110,917779442,73422355.3600,,9.4143,0.3398,-55.7497,8.4530,0.0000,0.0000
90,00112,767654861,3454446874.5000,0.0000,4.8676,3.7964,0.5620,-19.9148,0.0000,0.0000
