,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,279963060300.0000,0.0018,7.1785,1.0102,0.4823,-13.0373,4.3668,4.3664
1,00002,2526450570,204389851113.0000,0.0009,15.0841,2.2356,1.7047,172.1903,3.7330,3.7824
2,00003,16925052244,264369316051.2800,0.0007,28.3877,6.7660,3.6096,-124.3389,2.1709,2.2407
3,00004,3047627327,53333478222.5000,0.0015,8.0528,2.5331,0.3651,-1.9813,3.7137,3.7139
4,00005,20493180865,1234714147116.2500,0.0008,11.4615,2.4743,0.8837,-5.9018,6.5848,6.6061
5,00006,2134261654,113436006910.1000,0.0009,14.8554,72.9492,1.3720,-5.8635,5.2681,5.2681
6,00007,4000000000,3480000000.0000,0.0009,21.7524,3.6924,1.0867,-18.2480,0.0000,0.0000
7,00008,7719638249,34043604678.0900,0.0007,37.9527,0.8763,1.9012,-7.0222,7.0839,7.1451
8,00009,3568790629,478217944.2860,,-1.3507,5.8455,0.5056,-6.4791,0.0000,0.0000
9,00010,1361618242,27504688488.4000,0.0009,5.2043,2.7463,0.1789,-19.4517,3.9604,3.9604
10,00011,1911842736,339160901366.4000,0.0011,14.0085,6.1185,2.1054,-1003.4346,4.2277,4.3405
11,00012,4841387003,184940983514.6000,0.0013,5.9358,8.4133,0.5790,-25.5197,4.5931,4.7120
12,00014,1046500891,33383378422.9000,0.0015,5.5335,8.5818,0.4206,953.8108,4.5139,4.5141
13,00015,1683146400,1060382232.0000,,1.5051,0.2992,0.2339,14.8405,3.1746,3.1746
14,00016,2897780274,338750514030.6000,0.0019,7.5425,3.9712,0.5883,-146.2653,3.9768,4.0197
15,00017,10225939055,106758803734.2000,0.0017,4.5744,1.7591,0.4123,334.7720,4.5731,4.5885
16,00018,2397917898,1414771559.8200,0.0002,17.3830,1.5690,0.7750,-1.9587,5.0847,5.0847
17,00019,905206000,71013410700.0000,0.0025,3.0053,0.8393,0.2152,21.1917,3.8241,4.0153
18,00020,2048549287,97408518596.8500,0.0004,5.6505,2.0088,0.2421,-3.8543,3.2591,3.3123
19,00021,3975233406,516780342.7800,,12.3892,5.9245,0.5814,-117.4234,0.0000,0.0000
20,00022,1966387866,381479246.0040,0.0001,301.0886,5.2840,0.6554,52.3004,0.0000,0.0000
21,00023,2896730441,57934608820.0000,0.0007,8.9007,3.3935,0.5518,-104.5751,5.7623,3.8408
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.4447,-6.5079,0.0000,0.0000
23,00025,301928440,3381598528.0000,,5.1662,0.4906,0.3507,16.9904,4.4643,4.4643
24,00026,45308056,4419800862.8000,0.0000,4.6896,51.7590,0.4810,-53.0194,3.2804,21.8350
25,00027,4332592456,230927177904.8000,0.0013,17.0964,4.1826,3.3444,-120.5048,1.7792,1.7068
26,00028,1506769491,5559979421.7900,0.0000,4.4437,1.6891,0.2176,-2.8161,5.4201,5.4201
27,00029,232323681,2667075857.8800,0.0115,21.1463,23.5962,1.2441,-70.6735,0.5535,0.5993
28,00030,6448152160,1521763909.7600,0.0001,34.3732,1.6721,1.9894,-22.8907,0.0000,0.0000
29,00032,372688206,4263553076.6400,0.0002,9.5298,6.6521,0.5820,-2.4673,3.4965,3.4965
30,00034,1176631296,11001502617.6000,0.0001,5.0159,3.8705,0.3531,-12.8264,7.7005,7.9144
31,00035,2333720302,8168021057.0000,0.0004,4.7664,1.1938,0.5992,-15.3537,6.2875,6.2875
32,00036,1089118593,259210225.1340,0.0006,-2.4455,30.3276,0.2083,-57.6535,0.0000,0.0000
33,00037,610710675,130692084.4500,0.0003,-13.6202,2.4951,0.4585,46.4892,0.0000,0.0000
34,00038,391940000,678056200.0000,0.0015,-1.1253,0.2575,0.3300,-0.8782,0.0000,0.0000
35,00039,6225125683,466884426.2250,0.0594,100.4053,0.3685,0.2877,-7.7721,0.0000,0.0000
36,00040,784692952,643448220.6400,0.0000,10.4733,0.0951,0.2885,1.5649,5.1220,5.1220
37,00041,708368048,19834305344.0000,0.0006,3.4134,1.9529,0.2097,9.2625,2.9278,2.9444
38,00042,257950000,162508500.0000,0.0003,32.3358,14.6071,26.7900,6.1870,0.0000,0.0000
39,00043,24071837232,16609567690.0800,0.0003,7.5140,0.3154,1.2750,17.6541,6.2319,4.9275
40,00045,1629093367,13163074405.3600,0.0009,10.5898,2.1183,0.3342,-23.7601,2.5715,2.4560
41,00046,249488384,825806551.0400,0.0001,12.1392,2.9344,1.7273,13.6741,6.3444,6.3444
42,00047,10070431786,1238663109.6780,,10.1028,0.5218,2.3969,-20.8175,4.9593,4.9593
43,00050,356273883,2536670046.9600,0.0001,7.3603,2.3303,0.4145,-1.8432,5.3371,5.3371
44,00051,708750000,9199575000.0000,,11.0705,5.8115,0.5071,-60.1279,2.3112,2.3112
45,00052,129532780,3011637135.0000,0.0019,16.7362,1.0138,3.8726,57.9417,5.0643,5.0643
46,00053,329051373,40966895938.5000,,12.1610,2.3444,0.5053,-21.6112,3.2129,3.2129
47,00055,253639456,60873469.4400,,-1.6052,0.1027,0.0662,-9.2734,0.0000,0.0000
