,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,267623090700.0000,0.0008,6.8621,0.9657,0.4610,-12.4627,4.5682,4.5677
1,00002,2526450570,207168946740.0000,0.0011,15.2892,2.2660,1.7278,174.5315,3.6829,3.7561
2,00003,16925052244,255229787839.5200,0.0012,27.4063,6.5321,3.4848,-120.0403,2.2486,2.3210
3,00004,3049427327,60073718341.9000,0.0007,9.0705,2.8532,0.4113,-2.2317,3.2970,3.2972
4,00005,20638524545,1169172415474.2500,0.0020,20.3866,2.1192,0.8761,-5.5885,6.9539,6.9992
5,00006,2134261654,120372357285.6000,0.0008,15.7638,77.4099,1.4559,-6.2221,4.9645,4.9645
6,00007,4000000000,3120000000.0000,0.0027,19.5022,3.3104,0.9742,-16.3603,0.0000,0.0000
7,00008,7719638249,37208656360.1800,0.0006,54.6383,0.9917,2.0704,-7.6751,6.4813,6.5373
8,00009,3568790629,531749803.7210,0.0000,-1.5019,6.4999,0.5622,-7.2044,0.0000,0.0000
9,00010,1361618242,28525902169.9000,0.0009,4.1851,3.0234,0.1802,-20.1739,3.8186,3.8186
10,00011,1911842736,312012734515.2000,0.0010,12.5609,4.9259,1.8664,-923.1146,5.0245,5.0245
11,00012,4841387003,174532001458.1500,0.0011,5.6017,7.9398,0.5464,-24.0833,4.8670,4.9931
12,00014,1043550891,30523863561.7500,0.0019,6.3001,7.6539,0.3770,872.1104,4.9259,4.9259
13,00015,1683146400,875236128.0000,0.0001,1.2423,0.2469,0.1952,12.2493,3.8462,3.8462
14,00016,2897780274,326000280825.0000,0.0012,7.2586,3.8217,0.5662,-282.4959,4.3998,4.3998
15,00017,10227184800,102680935392.0000,0.0012,5.6542,1.3376,0.3729,187.1349,5.0789,5.0789
16,00018,2397917898,1318854843.9000,0.0000,16.2045,1.4626,0.7297,-1.8259,5.4545,3.6364
17,00019,905206000,65491654100.0000,0.0010,2.7717,0.7741,0.1984,19.5439,4.1465,4.3538
18,00020,2052849287,96997128810.7500,0.0005,5.6266,2.0004,0.2411,-3.8380,3.2729,3.3264
19,00021,3975233406,477028008.7200,,11.4362,5.4687,0.5366,-108.3908,0.0000,0.0000
20,00022,1966387866,292991792.0340,0.0000,231.2485,4.0583,0.5234,40.1689,0.0000,0.0000
21,00023,2906471326,49410012542.0000,0.0006,15.1564,2.5102,0.4507,-89.1877,2.7037,2.7037
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,3351405684.0000,0.0000,5.1201,0.4862,0.3446,16.8387,4.5045,4.9550
24,00026,45308056,5165118384.0000,0.0000,3.7124,58.4177,0.5113,17.0573,18.6842,18.6842
25,00027,4334826255,242750270280.0000,0.0057,17.9717,4.3968,3.5156,-126.6745,1.6926,1.6236
26,00028,1500647491,4922123770.4800,,3.9339,1.4953,0.1927,-2.4930,6.1224,6.1224
27,00029,237703681,2638510859.1000,0.0008,54.1455,24.8433,1.2373,225.9773,0.6200,0.6200
28,00030,6448152160,1998927169.6000,0.0004,45.1512,2.1964,2.5756,-30.0683,0.0000,0.0000
29,00032,372688206,4487166000.2400,0.0002,10.0296,7.0009,0.6125,-2.5967,3.3223,3.3223
30,00034,1176631296,11095633121.2800,0.0002,5.0589,3.9036,0.3561,-12.9362,7.6352,7.8473
31,00035,2380992209,8333472731.5000,0.0010,4.8630,1.2179,0.5335,-15.6647,6.1626,6.1788
32,00036,1089118593,211289007.0420,,-1.9934,24.7208,0.1698,-46.9949,0.0000,0.0000
33,00037,610710675,116035028.2500,,-12.0927,2.2153,0.4299,41.2755,0.0000,0.0000
34,00038,391940000,627104000.0000,0.0004,-1.0407,0.2381,0.3002,-0.8122,0.0000,0.0000
