,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,267237466650.0000,0.0015,6.8522,0.9643,0.4604,-12.4447,4.5748,4.5743
1,00002,2526450570,205021463755.5000,0.0011,15.1307,2.2425,1.7099,172.7224,3.7215,3.7954
2,00003,16925052244,253198781570.2400,0.0014,27.1883,6.4801,3.4571,-119.0851,2.2667,2.3396
3,00004,3049427327,58914935957.6400,0.0009,8.8955,2.7981,0.4034,-2.1887,3.3619,3.3621
4,00005,20638524545,1173300120383.2500,0.0011,10.8914,2.3512,0.7568,-5.6082,6.9295,6.9746
5,00006,2134261654,120158931120.2000,0.0013,15.7358,77.2726,1.4533,-6.2110,4.9734,4.9734
6,00007,4000000000,3280000000.0000,0.0004,20.5023,3.4802,1.0242,-17.1992,0.0000,0.0000
7,00008,7719638249,35433139562.9100,0.0018,39.5018,0.9120,1.9788,-7.3088,6.8061,6.8649
8,00009,3568790629,538887384.9790,0.0000,-1.5220,6.5871,0.5697,-7.3011,0.0000,0.0000
9,00010,1361618242,26333696800.2800,0.0008,3.8635,2.7911,0.1663,-18.6235,4.1365,4.1365
10,00011,1911842736,302453520835.2000,0.0008,12.4924,5.4563,1.8775,-894.8329,4.7408,4.9305
11,00012,4841387003,170416822505.6000,0.0011,5.4696,7.7526,0.5335,-23.5155,4.9845,5.1136
12,00014,1043820891,30583952106.3000,0.0070,5.0694,7.8622,0.3853,873.8272,4.9271,4.9273
13,00015,1683146400,858404664.0000,0.0000,1.2184,0.2422,0.1914,12.0137,3.9216,3.9216
14,00016,2897780274,316727383948.2000,0.0015,7.0522,3.7130,0.5500,-274.4605,4.5286,4.5286
15,00017,10226400800,100320991848.0000,0.0020,5.5243,1.3069,0.3643,182.8340,5.1983,5.1983
16,00018,2397917898,1294875664.9200,0.0000,15.9099,1.4360,0.7164,-1.7927,5.5556,3.7037
17,00019,905206000,62323433100.0000,0.0023,2.6376,0.7366,0.1888,18.5985,4.3573,4.5752
18,00020,2052849287,97818268525.5500,0.0005,5.6742,2.0173,0.2431,-3.8705,3.2455,3.2984
19,00021,3975233406,469077541.9080,0.0000,11.2456,5.3776,0.5277,-106.5843,0.0000,0.0000
20,00022,1966387866,318554834.2920,,251.4245,4.4124,0.5691,43.6735,0.0000,0.0000
21,00023,2906471326,48944977129.8400,0.0005,7.5196,2.8670,0.4662,-88.3483,6.8207,4.5462
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,3309135702.4000,0.0000,5.0555,0.4801,0.3402,16.6263,4.5620,5.0182
24,00026,45308056,5219488051.2000,0.0000,3.7514,59.0326,0.5166,17.2369,18.4896,18.4896
25,00027,4333820007,223191730360.5000,0.0066,16.5237,4.0425,3.2323,-116.4683,1.8409,1.7659
26,00028,1500647491,4847091395.9300,0.0000,3.8739,1.4725,0.1897,-2.4550,6.2172,6.2172
27,00029,237703681,2533921239.4600,0.0002,51.9992,23.8586,1.1882,217.0196,0.6456,0.6456
28,00030,6448152160,2031167930.4000,0.0005,45.8795,2.2319,2.6171,-30.5533,0.0000,0.0000
29,00032,372688206,4539342349.0800,0.0001,10.1463,7.0824,0.6196,-2.6269,3.2841,3.2841
30,00034,1176631296,10954437365.7600,0.0001,4.9945,3.8539,0.3516,-12.7716,7.7336,7.9484
31,00035,2371063335,7966772805.6000,0.0004,4.6490,1.1643,0.5100,-14.9754,6.4463,6.4632
32,00036,1089118593,216734600.0070,0.0000,-2.0448,25.3580,0.1742,-48.2061,0.0000,0.0000
33,00037,610710675,120310002.9750,0.0001,-12.5382,2.2969,0.4458,42.7962,0.0000,0.0000
34,00038,391940000,583990600.0000,0.0007,-0.9692,0.2218,0.2796,-0.7564,0.0000,0.0000
35,00039,6225125683,498010054.6400,0.0003,107.0989,0.3930,0.3069,-8.2902,0.0000,0.0000
36,00040,784692952,604213573.0400,0.0002,9.8347,0.0893,0.2678,1.4695,5.4545,5.8442
37,00041,708382048,16859492742.4000,0.0002,2.9014,1.6600,0.1783,7.8733,3.4444,3.4639
38,00042,257950000,131554500.0000,0.0010,26.1766,11.8248,21.5880,5.0085,0.0000,0.0000
39,00043,24071837232,16368849317.7600,0.0001,7.4051,0.3109,1.2778,17.3983,6.3235,5.0000
40,00045,1634422891,12797531236.5300,0.0001,10.2957,2.0595,0.3249,-23.1002,2.6450,2.5261
41,00046,249488384,750960035.8400,0.0002,11.0390,2.6684,1.5707,12.4348,6.9767,6.9767
42,00047,10070431786,906338860.7400,0.0002,7.3923,0.3818,1.7538,-15.2323,6.7778,6.7778
43,00050,356273883,2390597754.9300,0.0001,6.9364,2.1961,0.3906,-1.7370,5.6632,5.6632
44,00051,708750000,7725375000.0000,0.0000,9.2965,4.8802,0.4259,-50.4926,2.7523,2.7523
45,00052,129532780,2440397575.2000,0.0019,13.5618,0.8215,3.2672,46.9515,6.2498,5.5202
46,00053,329051373,43434781236.0000,0.0000,12.8356,2.4744,0.5333,-19.6138,3.0303,3.0303
47,00055,253639456,51235170.1120,,-1.3510,0.0865,0.0557,-7.8051,0.0000,0.0000
48,00056,6812201460,10082058160.8000,,4.3023,2.0511,0.2092,3.6584,5.4054,5.4054
49,00057,630531600,1343032308.0000,0.0000,14.8765,0.8210,0.5047,15.1827,3.2864,3.5211
50,00058,748936324,71148950.7800,0.0022,-1.4089,0.1716,0.2401,-1.4042,0.0000,0.0000
51,00059,7944751137,8024198648.3700,0.0005,9.1121,1.1057,2.0780,-12.3470,2.2722,2.2722
52,00060,259586000,186901920.0000,0.0000,0.9939,1.2369,0.2977,1.7347,0.0000,0.0000
53,00061,8773232014,236877264.3780,0.0020,-0.2004,0.2358,10.6156,-2.5763,0.0000,0.0000
54,00062,446941011,8768982635.8200,0.0002,12.1779,1.0949,0.8453,-8.9864,5.9411,5.9825
55,00063,2819102084,558182212.6320,0.0000,-6.2843,33.7699,2.9461,-10.6090,0.0000,0.0000
56,00064,9662705938,1951866599.4760,0.0005,10.0055,3.4737,0.2956,-8.0195,9.9010,8.6634
57,00066,6157948911,270333957192.9000,0.0006,16.8874,5.0127,1.4975,-59.5580,2.7227,2.7275
58,00068,146781285,513734497.5000,,-0.4303,38.4503,0.4337,335.3358,2.1429,0.7143
59,00069,3585525056,25779925152.6400,0.0023,17.0247,1.3043,0.5037,16.5039,3.0598,3.0598
60,00070,1938822690,304395162.3300,0.0016,7.1490,2.5407,0.2554,-0.5951,0.0000,0.0000
61,00071,690959695,9991277189.7000,0.0000,6.1517,3.1232,0.5074,6.0260,4.2185,4.2185
62,00075,799557415,1767021887.1500,0.0000,21.4681,34.9097,1.0700,137.9516,0.4525,0.4525
63,00076,6575131478,197253944.3400,0.0009,3.6386,0.2188,0.0676,3.3889,0.0000,0.0000
64,00077,271913000,231126050.0000,0.0001,-5.3430,0.5882,2.3930,-42.7932,9.4118,9.4118
65,00078,898782333,3487275452.0400,0.0002,6.3671,1.3340,0.2214,-3.2868,4.8969,4.7680
66,00079,326077423,69780568.5220,0.0002,-5.4207,2.6737,0.1878,-4.5395,0.0000,0.0000
67,00082,4213395262,787904913.9940,0.0005,-1.2167,0.2330,0.7429,-2.4802,0.0000,0.0000
68,00083,6958941876,74182320398.1600,0.0022,10.7279,9.2613,0.5075,8.5408,5.0435,5.0435
69,00084,1046474025,107786824.5750,0.0021,-3.1196,0.0739,0.1170,-0.7632,0.0000,0.0000
70,00086,1996643493,6948319355.6400,0.0003,5.8695,1.5156,0.3056,2.6553,7.7581,7.4979
71,00087,2981870000,32979482200.0000,0.0003,1.3957,0.3898,0.0999,9.8417,5.4250,5.6962
72,00088,617531425,3810168892.2500,0.0001,16.4515,10.3425,0.5432,7.0195,5.6726,5.6726
73,00089,287669676,1280130058.2000,0.0004,2.5977,3.6330,0.1603,467.6283,4.9438,4.9438
74,00091,733635404,179007038.5760,0.0001,-0.3375,19.6517,-0.6596,-4.5704,0.0000,0.0000
75,00092,683830848,80008209.2160,,-1.1085,0.2075,0.6481,3.7545,0.0000,0.0000
76,00093,1957643050,616657560.7500,0.0001,-31.0190,20.1562,0.6734,-18.5016,0.0000,0.0000
77,00094,1854991056,387693130.7040,0.0004,-6.8160,0.9078,0.5026,-23.6716,0.0000,0.0000
78,00097,3047327395,1889342984.9000,0.0001,19.4778,1.2629,1.4411,-8.8702,6.4516,6.4516
