,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,267044654625.0000,0.0012,6.8473,0.9636,0.4600,-12.4357,4.5781,4.5776
1,00002,2526450570,201484432957.5000,0.0007,14.8697,2.2038,1.6804,169.7426,3.7868,3.8621
2,00003,16925052244,251167775300.9600,0.0009,26.9702,6.4282,3.4294,-118.1299,2.2850,2.3585
3,00004,3049027327,55370336258.3200,0.0023,8.3603,2.6298,0.3791,-2.0570,3.5771,3.5773
4,00005,20637625050,1180472152860.0000,0.0008,10.9580,2.3656,0.7614,-5.6425,6.8874,6.9322
5,00006,2134261654,116850825556.5000,0.0006,15.3026,75.1452,1.4133,-6.0401,5.1142,5.1142
6,00007,4000000000,3360000000.0000,0.0012,21.0024,3.5651,1.0492,-17.6187,0.0000,0.0000
7,00008,7719638249,36050710622.8300,0.0008,40.1903,0.9279,2.0133,-7.4362,6.6895,6.7473
8,00009,3568790629,356879062.9000,0.0003,-1.0080,4.3623,0.3773,-4.8352,0.0000,0.0000
9,00010,1361618242,25680120044.1200,0.0011,4.8591,2.5642,0.1671,-18.1613,4.2418,4.2418
10,00011,1911842736,302262336561.6000,0.0007,12.4845,5.4528,1.8763,-894.2673,4.7438,4.9336
11,00012,4841387003,181552012612.5000,0.0003,5.8270,8.2591,0.5684,-25.0520,4.6788,4.8000
12,00014,1044700891,30609736106.3000,0.0020,5.0737,7.8688,0.3856,874.5639,4.9230,4.9231
13,00015,1683146400,942561984.0000,0.0002,1.3379,0.2659,0.2102,13.1915,3.5714,3.5714
14,00016,2897780274,324261612660.6000,0.0007,7.2199,3.8013,0.5631,-280.9893,4.4234,4.4234
15,00017,10230394800,102713163792.0000,0.0016,5.6560,1.3380,0.3730,187.1937,5.0773,5.0773
16,00018,2397917898,1318854843.9000,0.0000,16.2045,1.4626,0.7297,-1.8259,5.4545,3.6364
17,00019,905206000,63998064200.0000,0.0018,2.7085,0.7564,0.1939,19.0982,4.2433,4.4554
18,00020,2048549287,100276487598.6500,0.0005,5.8168,2.0680,0.2492,-3.9677,3.1659,3.2176
19,00021,3975233406,516780342.7800,0.0000,12.3892,5.9245,0.5814,-117.4234,0.0000,0.0000
20,00022,1966387866,338218712.9520,0.0000,266.9445,4.6848,0.6042,46.3694,0.0000,0.0000
21,00023,2906471326,51153895337.6000,0.0003,7.8589,2.9964,0.4872,-92.3356,6.5262,4.3499
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,3617102711.2000,0.0001,5.5260,0.5248,0.3719,18.1737,4.1736,4.5910
24,00026,45308056,5418843497.6000,0.0001,3.8947,61.2873,0.5364,17.8953,17.8094,17.8094
25,00027,4333333972,221433365969.2000,0.0013,16.3935,4.0107,3.2069,-115.5507,1.8555,1.7799
26,00028,1506769491,5213422438.8600,0.0001,4.1667,1.5838,0.2041,-2.6406,5.7803,5.7803
27,00029,237703681,2714576037.0200,0.0002,55.7065,25.5595,1.2729,232.4920,0.6026,0.6026
28,00030,6448152160,1998927169.6000,0.0003,45.1512,2.1964,2.5756,-30.0683,0.0000,0.0000
29,00032,372688206,4509527292.6000,0.0002,10.0796,7.0358,0.6156,-2.6096,3.3058,3.3058
30,00034,1176631296,10977969991.6800,0.0000,5.0052,3.8622,0.3524,-12.7990,7.7170,7.9314
31,00035,2379293335,8779592406.1500,0.0004,5.1233,1.2831,0.5620,-16.5033,5.8495,5.8649
32,00036,1089118593,236338734.6810,0.0000,-2.2297,27.6517,0.1899,-52.5664,0.0000,0.0000
33,00037,610710675,120920713.6500,0.0000,-12.6019,2.3086,0.4480,43.0134,0.0000,0.0000
34,00038,391940000,631023400.0000,0.0002,-1.0472,0.2396,0.3021,-0.8173,0.0000,0.0000
35,00039,6225125683,535360808.7380,0.0018,115.1314,0.4225,0.3299,-8.9120,0.0000,0.0000
36,00040,784692952,659142079.6800,0.0000,10.7287,0.0974,0.2921,1.6031,5.0000,5.3571
37,00041,708374048,18630237462.4000,0.0003,3.2062,1.8344,0.1970,8.7002,3.1170,3.1347
