,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,215371031925.0000,0.0011,5.4073,0.7203,0.3608,-115.2333,5.6765,5.6759
1,00002,2526450570,203884560999.0000,0.0006,43.7802,2.3794,1.7086,353.3528,3.8166,3.8166
2,00003,16925052244,229503708428.6400,0.0005,32.9477,5.6489,3.0439,-381.0455,2.5007,2.5811
3,00004,3049427327,42204074205.6800,0.0011,12.4643,2.5011,0.2884,5.3254,2.3472,2.3472
4,00005,20690301074,806921741886.0000,0.0012,14.0701,1.4626,0.5251,-5.0847,10.0757,3.9923
5,00006,2134261654,107993639692.4000,0.0019,15.1442,80.1140,1.2632,-54.2137,5.5336,5.5336
6,00007,4000000000,2680000000.0000,0.0010,4.0445,4.9814,0.7327,-14.0530,0.0000,0.0000
7,00008,7729638249,36329299770.3000,0.0009,53.3470,0.9682,2.0214,-26.2305,6.6382,6.6956
8,00009,3568790629,356879062.9000,0.0001,-1.2351,8.9401,0.5116,-4.8352,0.0000,0.0000
9,00010,1361618242,22112680250.0800,0.0009,3.2442,2.3437,0.1397,-3.1982,6.6502,6.6502
10,00011,1911842736,254657452435.2000,0.0006,10.2519,4.0204,1.5233,-51.3629,6.1562,6.1562
11,00012,4841387003,146694026190.9000,0.0006,8.6321,6.0657,0.4508,-49.7605,5.7906,5.9406
12,00014,1041900891,25526571829.5000,0.0021,5.2686,6.4008,0.3153,16.7059,5.8902,5.8902
13,00015,1683146400,740584416.0000,,1.0512,0.2089,0.1652,10.3648,4.5455,4.5455
14,00016,2897780274,301079370468.6000,0.0005,6.7038,3.5296,0.5199,-260.9007,4.7640,4.7642
15,00017,10179477295,91309911336.1500,0.0014,5.0281,1.1895,0.3294,166.4114,5.7114,5.7123
16,00018,2397917898,1186969359.5100,,14.5841,1.3163,0.6567,-1.6433,6.0606,4.0404
17,00019,905206000,43993011600.0000,0.0017,4.8843,0.5136,0.1335,3.5599,6.1728,6.1728
18,00020,2052849287,113727850499.8000,0.0006,12.3981,2.3440,0.2889,13.9458,2.8410,2.8410
19,00021,3975233406,393548107.1940,0.0000,-110.8899,13.9211,0.4178,409.5194,0.0000,0.0000
20,00022,1966387866,232033768.1880,0.0001,183.1364,3.2140,0.4145,31.8116,0.0000,0.0000
21,00023,2914783467,46928013818.7000,0.0002,14.3951,2.3841,0.4280,5.0882,2.8467,2.8467
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,2958898712.0000,0.0000,4.5204,0.4293,0.3042,14.8666,5.1020,5.6122
24,00026,45308056,4521743988.8000,0.0002,3.2499,51.1411,0.4803,14.9327,21.3427,39.3788
25,00027,4335449390,216989241969.5000,0.0018,16.6383,4.1807,2.9262,-28.8265,1.8175,1.8175
26,00028,1500647491,4637000747.1900,0.0003,3.4452,2.0869,0.1812,6.7898,6.4725,6.4725
27,00029,237703681,2700313816.1600,0.0002,55.4138,25.4252,1.2840,231.2705,0.6058,0.5282
28,00030,6448152160,1547556518.4000,0.0001,34.9558,1.7005,1.9940,-23.2787,0.0000,0.0000
29,00032,372688206,4196469199.5600,0.0027,5.7699,6.0300,0.5593,10.3693,3.5524,3.5524
30,00034,1176631296,10472018534.4000,0.0001,4.2748,0.9009,0.3343,4.7442,8.0899,8.3146
31,00035,2360163209,6419643928.4800,0.0002,3.7462,0.9382,0.4109,-12.0672,7.9998,8.0209
32,00036,1089118593,154654840.2060,,-1.1688,3.8924,0.1337,5.3073,0.0000,0.0000
33,00037,610710675,83056651.8000,0.0002,-8.6558,1.5857,0.3077,29.5446,0.0000,0.0000
34,00038,391940000,666298000.0000,0.0019,24.7646,0.2611,0.3088,-9.5876,0.0000,0.0000
35,00039,6225125683,361057289.6140,0.0004,-1.2404,0.4633,0.2937,-6.0104,0.0000,0.0000
36,00040,784692952,502203489.2800,,8.1743,0.0742,0.2226,1.2214,6.5625,7.0313
37,00041,708382048,15832338772.8000,0.0003,-46.8704,1.7140,0.1761,7.4381,3.6679,3.6886
38,00042,257950000,103180000.0000,0.0002,-7.9025,3.1042,-6.5477,3.9282,0.0000,0.0000
39,00043,24071837232,16128130945.4400,0.0001,6.0004,0.2981,1.0549,59.9308,6.4179,5.0746
40,00045,1634422891,11261173718.9900,0.0002,22.7959,1.9171,0.2834,-27.0701,3.0058,2.8708
41,00046,249488384,586297702.4000,0.0002,10.4896,2.1251,1.2180,-5.5535,8.9362,8.9362
42,00047,10070431786,704930225.0200,0.0000,6.1520,0.3046,1.2243,-5.7136,8.7143,8.7143
43,00050,356273883,2308654761.8400,0.0001,16.9236,7.7252,0.3764,10.2279,5.8642,5.8642
44,00051,708750000,5988937500.0000,,51.1875,4.2931,0.3429,-12.7696,2.6036,2.6036
45,00052,129532780,2507754620.8000,0.0041,13.9361,0.8442,3.3574,48.2474,6.0819,5.3719
46,00053,329051373,34978160949.9000,,10.3365,1.9926,0.4456,-15.7951,3.7629,3.7629
47,00055,253639456,51488809.5680,0.0068,-1.6727,0.0918,0.0581,2.0998,0.0000,0.0000
48,00056,6812201460,12602572701.0000,0.0009,4.3754,2.6512,0.2536,10.9769,4.3243,4.3243
49,00057,630531600,1166483460.0000,,12.9209,0.7130,0.4384,13.1869,3.7838,4.0541
50,00058,898000000,86208000.0000,,-0.2875,0.2415,0.3949,-1.7014,0.0000,0.0000
51,00059,7927028537,7927028537.0000,0.0006,9.1483,1.0997,1.9327,-8.6638,2.3000,2.3000
52,00060,259586000,189497780.0000,0.0000,1.0077,1.2541,0.3018,1.7588,0.0000,0.0000
53,00061,8773232014,166691408.2660,0.0005,-1.1114,0.1765,0.4919,-1.8129,0.0000,0.0000
54,00062,446941011,7758895950.9600,0.0001,12.8180,0.9564,0.7072,24.4848,6.7145,6.7613
55,00063,2819102084,513076579.2880,0.0000,-51307.6579,38.1243,2.6065,-139.0075,0.0000,0.0000
56,00064,9662705938,1111211182.8700,0.0006,5.6962,1.9776,0.1683,-4.5655,17.3913,15.2174
57,00066,6158321911,261112849026.4000,0.0004,21.8834,4.7907,1.3978,-657.7150,2.8188,2.8239
58,00068,146781285,293562570.0000,,-0.6095,14.5616,0.3806,-398.3210,0.0000,0.0000
59,00069,3585525056,22875649857.2800,0.0008,19.3499,1.2136,0.4537,-46.5654,1.2539,1.2539
60,00070,1938822690,191943446.3100,0.0139,4.5079,1.6021,0.1669,-0.3753,0.0000,0.0000
61,00071,690959695,9797808475.1000,,7.6057,3.2001,0.4888,6.0371,4.3018,4.3018
62,00075,799557415,1679070571.5000,0.0000,20.0402,31.6627,0.9654,47.9324,0.4762,0.4762
63,00076,7006631478,133125998.0820,0.0000,-1.8393,0.1833,0.0465,-4.6349,0.0000,0.0000
64,00077,271913000,187619970.0000,,-4.3372,0.4775,1.9425,-34.7380,11.5942,11.5942
65,00078,898782333,2858127818.9400,0.0003,6.2871,1.2839,0.1849,-9.3342,5.9748,5.8176
66,00079,326077423,65215484.6000,,-3.0713,2.1022,0.1867,-1.2996,0.0000,0.0000
67,00082,4288395262,591798546.1560,0.0002,-3.1956,0.2421,0.6479,-8.3367,0.0000,0.0000
68,00083,7045158938,74537781564.0400,0.0004,10.7793,9.3057,0.5049,8.5817,5.0194,5.0568
69,00084,1046474025,86857344.0750,0.0000,-2.5139,0.0596,0.0942,-0.6150,0.0000,0.0000
70,00086,1993214493,6198897073.2300,0.0002,2.9728,1.4650,0.2629,5.9342,8.3779,8.3779
71,00087,2981870000,24302240500.0000,0.0002,2.6982,0.2837,0.0738,1.9665,7.3620,7.3620
72,00088,617531425,3204988095.7500,0.0001,13.8385,8.6998,0.4569,5.9045,6.7437,6.7437
73,00089,287669676,1265746574.4000,,2.9011,3.4179,0.1543,22.0529,5.0000,5.0000
74,00091,734847904,235151329.2800,0.0096,-0.5926,30.9940,-0.7175,599.8758,0.0000,0.0000
75,00092,683830848,60177114.6240,0.0000,-0.8337,0.1560,0.4691,2.8239,0.0000,0.0000
76,00093,1957643050,548140054.0000,0.0000,-27.5724,17.9166,0.5986,-16.4458,0.0000,0.0000
77,00094,1854991056,370998211.2000,0.0000,-2.5797,0.9908,0.6255,28.7640,0.0000,0.0000
78,00097,3047327395,1356060690.7750,0.0002,21.8719,0.7944,1.0528,-13.0390,8.9888,8.9888
79,00099,478483794,995246291.5200,,3.7369,0.2632,0.1988,8.8624,4.5673,4.3269
80,00100,541700500,3840656545.0000,0.0005,-40.0582,2.4063,1.4938,-16.9884,0.0000,0.0000
81,00101,4497718670,70704137492.4000,0.0007,11.4556,7.9874,0.4783,-9.9192,4.8346,4.8346
82,00102,1803777836,1190493371.7600,0.0010,14.5186,2.2343,0.5846,3.0874,0.0000,0.0000
83,00104,747123220,272699975.3000,,3.8702,0.2918,0.5340,42.1223,14.3683,7.0137
84,00105,360000000,5904000000.0000,,39.7616,9.6694,0.4532,-745.2663,7.0122,6.8902
85,00106,4722307545,3588953734.2000,0.0000,2.7819,0.3809,0.5341,-3.3915,5.9211,5.9211
86,00107,895320000,1826452800.0000,0.0005,5.2186,0.7261,0.3585,-8.0644,5.5787,5.5787
87,00108,3199373986,5438935776.2000,0.0016,55.1622,14.5688,1.5826,-55.4066,0.0000,0.0000
88,00109,7088223998,524528575.8520,0.0001,9.6920,6.1953,0.1898,-0.3970,0.0000,0.0000
89,00110,917779442,46806751.5420,,-2.0071,0.4316,-4.5067,5.3888,0.0000,0.0000
90,00112,1072099304,5435543471.2800,0.0000,39.7608,4.9133,0.9793,-31.3358,0.0000,0.0000
91,00113,394202808,1576811232.0000,0.0001,3.9049,0.3933,0.6362,-1.7105,8.8977,8.8389
92,00114,604490763,398963903.5800,,-15.2521,0.4189,0.5932,8.0860,4.5455,7.5758
93,00115,2449554132,195964330.5600,0.0000,-1.9360,55.3259,0.0938,6.0932,0.0000,0.0000
94,00116,677434000,5155272740.0000,0.0006,8.0109,0.2907,0.4849,-19.5515,7.7530,7.6216
95,00118,861930692,241340593.7600,0.0001,15.3183,0.1029,0.1741,7.8101,0.0000,0.0000
96,00120,4413926372,4458065635.7200,0.0001,-26.1777,37.2748,3.7154,416.6416,0.0000,0.0000
97,00122,947543695,345853448.6750,0.0000,11.2998,1.4695,0.2107,165.3219,2.7397,0.0000
98,00125,262778286,394167429.0000,,5.4651,0.3221,0.4302,-12.4214,10.6667,7.6667
99,00126,1257087536,678827269.4400,0.0004,2.4422,0.6997,0.1852,-3.2659,5.5556,5.5556
100,00127,1907619079,6772047730.4500,0.0001,8.5704,12.5644,0.2016,-34.8240,3.0986,3.0986
101,00128,1650658676,990395205.6000,0.0001,21.4385,7.5120,1.0212,269.0560,0.0000,0.0000
102,00129,1319782288,1174606236.3200,0.0001,0.8458,0.5321,0.0577,-5.8070,3.0337,3.0337
103,00130,287930000,95016900.0000,,-4.8190,0.3785,0.1474,-3.5960,0.0000,0.0000
104,00131,620866506,1496288279.4600,0.0000,2.6118,7.4242,0.2207,-17.0776,8.9044,9.0831
105,00136,74611669087,5297428505.1770,0.0003,53.8513,14.3792,4.2487,66.2787,0.0000,0.0000
