,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,257596865400.0000,0.0016,6.6050,0.9295,0.4438,-11.9958,4.7460,4.7455
1,00002,2526450570,204263528584.5000,0.0019,43.8616,2.3838,1.7118,172.0838,3.8095,3.8095
2,00003,16925052244,252521779480.4800,0.0013,27.1156,6.4628,3.4478,-118.7667,2.2727,2.3458
3,00004,3049427327,51840264559.0000,0.0074,7.8273,2.4621,0.3549,-1.9259,3.8206,3.8209
4,00005,20657175784,1090698881395.2000,0.0022,19.0183,1.9770,0.8173,-5.2134,7.4542,7.5028
5,00006,2134261654,116850825556.5000,0.0014,15.3026,75.1452,1.4133,-6.0401,5.1142,5.1142
6,00007,4000000000,3320000000.0000,0.0023,20.7523,3.5226,1.0367,-17.4090,0.0000,0.0000
7,00008,7719638249,36050710622.8300,0.0015,52.9379,0.9608,2.0059,-7.4362,6.6895,6.7473
8,00009,3568790629,463942781.7700,,-1.3104,5.6710,0.4905,-6.2857,0.0000,0.0000
9,00010,1361618242,27068970650.9600,0.0013,3.9714,2.8690,0.1710,-19.1435,4.0241,4.0241
10,00011,1911842736,309527338958.4000,0.0015,12.4608,4.8867,1.8515,-915.7614,5.0649,5.0649
11,00012,4841387003,173321654707.4000,0.0010,5.5628,7.8847,0.5426,-23.9163,4.9010,5.0279
12,00014,1043550891,29428135126.2000,0.0021,6.0739,7.3792,0.3634,840.8039,5.1093,5.1093
13,00015,1683146400,841573200.0000,,1.1945,0.2374,0.1877,11.7782,4.0000,4.0000
14,00016,2897780274,315858049866.0000,0.0019,7.0328,3.7028,0.5454,-273.7071,4.5411,4.5413
15,00017,10232397800,100789118330.0000,0.0026,5.5500,1.3130,0.3636,183.6871,5.1742,5.1751
16,00018,2397917898,1246917306.9600,0.0001,15.3207,1.3828,0.6899,-1.7263,5.7692,3.8462
17,00019,905206000,63500200900.0000,0.0016,2.6874,0.7505,0.1924,18.9496,4.2766,4.4904
18,00020,2052849287,126558158543.5500,0.0026,7.3414,2.6100,0.3145,-5.0076,2.5085,2.5494
19,00021,3975233406,473052775.3140,,11.3409,5.4232,0.5322,-107.4876,0.0000,0.0000
20,00022,1966387866,271361525.5080,0.0000,214.1764,3.7587,0.4848,37.2034,0.0000,0.0000
21,00023,2906471326,48421812291.1600,0.0004,14.8533,2.4600,0.4417,-87.4040,2.7589,2.7589
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,3260827152.0000,0.0001,4.9817,0.4731,0.3353,16.3836,4.6296,5.0926
24,00026,45308056,5699753444.8000,0.0004,4.0966,64.4645,0.6054,18.8229,16.9316,31.2401
25,00027,4334826255,221726362943.2500,0.0039,17.0015,4.2720,2.9900,-115.7036,1.7787,1.7787
26,00028,1500647491,4561968372.6400,0.0002,3.6461,1.3859,0.1786,-2.3106,6.6058,6.6058
27,00029,237703681,2600478270.1400,0.0003,53.3650,24.4852,1.2365,222.7200,0.6290,0.5484
28,00030,6448152160,1966686408.8000,0.0001,44.4230,2.1610,2.5340,-29.5834,0.0000,0.0000
29,00032,372688206,4472258472.0000,0.0004,9.9963,6.9777,0.6105,-2.5880,3.3333,3.3333
30,00034,1176631296,10930904739.8400,0.0001,4.9838,3.8456,0.3508,-12.7441,7.7503,7.9656
31,00035,2380992209,8214423121.0500,0.0004,4.7935,1.2005,0.5258,-15.4409,6.2519,6.2684
32,00036,1089118593,206932532.6700,0.0000,-1.9523,24.2111,0.1663,-46.0259,0.0000,0.0000
33,00037,610710675,114202896.2250,,-11.9018,2.1803,0.4231,40.6238,0.0000,0.0000
34,00038,391940000,634942800.0000,0.0034,-1.0537,0.2411,0.3040,-0.8224,0.0000,0.0000
35,00039,6225125683,491784928.9570,0.0002,105.7602,0.3881,0.3030,-8.1866,0.0000,0.0000
36,00040,784692952,596366643.5200,,9.7070,0.0881,0.2643,1.4504,5.5263,5.9211
37,00041,708382048,16505301718.4000,0.0015,-48.8626,1.7869,0.1836,7.7079,3.5183,3.5382
38,00042,257950000,127685250.0000,0.0010,25.4067,11.4770,20.9530,4.8612,0.0000,0.0000
39,00043,24071837232,15887412573.1200,0.0001,5.9108,0.2936,1.0391,16.8865,6.5152,5.1515
40,00045,1634422891,13010006212.3600,0.0002,10.4666,2.0937,0.3303,-23.4838,2.6018,2.4849
41,00046,249488384,768424222.7200,0.0002,11.2957,2.7305,1.6073,12.7239,6.8182,6.8182
42,00047,10070431786,926479724.3120,0.0000,7.5566,0.3903,1.7928,-15.5708,6.6304,6.6304
43,00050,356273883,2429787882.0600,0.0001,7.0502,2.2321,0.3970,-1.7655,5.5718,5.5718
44,00051,708750000,7484400000.0000,0.0000,63.9692,5.3652,0.4285,-48.9176,2.0833,2.0833
