,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,282469616625.0000,0.0013,7.2428,1.0193,0.4866,-13.1540,4.3281,4.3276
1,00002,2526450570,202368690657.0000,0.0017,14.9350,2.2135,1.6878,170.4875,3.7703,3.8202
2,00003,16925052244,260307303512.7200,0.0008,27.9516,6.6621,3.5541,-122.4284,2.2048,2.2757
3,00004,3048227327,54563269153.3000,0.0010,8.2385,2.5915,0.3736,-2.0270,3.6300,3.6302
4,00005,20583110199,1253511411119.1000,0.0011,11.6360,2.5119,0.8972,-5.9916,6.4861,6.5283
5,00006,2134261654,116850825556.5000,0.0010,15.3026,75.1452,1.4133,-6.0401,5.1142,5.1142
6,00007,4000000000,3440000000.0000,0.0011,21.5024,3.6500,1.0742,-18.0382,0.0000,0.0000
7,00008,7719638249,34815568502.9900,0.0009,38.8133,0.8962,1.9444,-7.1814,6.9268,6.9867
8,00009,3568790629,442530037.9960,0.0000,-1.2499,5.4093,0.4679,-5.9956,0.0000,0.0000
9,00010,1361618242,26006908422.2000,0.0013,4.9209,2.5968,0.1692,-18.3924,4.1885,4.1885
10,00011,1911842736,316218788534.4000,0.0014,13.0610,5.7046,1.9629,-935.5585,4.5345,4.7158
11,00012,4841387003,187603746366.2500,0.0026,6.0212,8.5344,0.5873,-25.8871,4.5279,4.6452
12,00014,1046500891,31499676819.1000,0.0012,5.2212,8.0976,0.3969,899.9908,4.7839,4.7841
13,00015,1683146400,1077213696.0000,0.0000,1.5290,0.3039,0.2376,15.0760,3.1250,3.1250
14,00016,2897780274,336432289811.4000,0.0040,7.4909,3.9440,0.5843,-291.5358,4.2634,4.2634
15,00017,10226051055,114327250794.9000,0.0050,6.2955,1.4893,0.4152,358.5050,4.5615,4.5615
16,00018,2397917898,1414771559.8200,0.0000,17.3830,1.5690,0.7750,-1.9587,5.0847,5.0847
17,00019,905206000,66396860100.0000,0.0026,2.8100,0.7848,0.2012,19.8140,4.0900,4.2945
18,00020,2048549287,95872106631.6000,0.0009,5.5613,1.9772,0.2383,-3.7935,3.3113,3.3654
19,00021,3975233406,473052775.3140,0.0000,11.3409,5.4232,0.5322,-107.4876,0.0000,0.0000
20,00022,1966387866,377546470.2720,0.0000,297.9846,5.2295,0.6486,51.7612,0.0000,0.0000
21,00023,2906471326,53827848957.5200,0.0004,8.2698,3.1530,0.5127,-97.1622,6.2020,4.1338
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,3441984216.0000,,5.2585,0.4994,0.3570,17.2938,4.3860,4.3860
24,00026,45308056,4469639724.4000,0.0000,3.2125,50.5518,0.4424,14.7606,21.5915,21.5915
25,00027,4332900408,221844500889.6000,0.0020,16.4239,4.0181,3.2128,-115.7652,1.8521,1.7766
26,00028,1506769491,5499708642.1500,0.0001,4.3955,1.6708,0.2153,-2.7856,5.4795,5.4795
27,00029,237703681,2757362699.6000,0.0001,56.5845,25.9624,1.2930,-73.0659,0.5932,0.5932
28,00030,6448152160,1998927169.6000,0.0102,45.1512,2.1964,2.6131,-30.0683,0.0000,0.0000
29,00032,372688206,4397720830.8000,0.0000,9.8297,6.8614,0.6003,-2.5449,3.3898,3.3898
30,00034,1176631296,11236828876.8000,0.0002,5.1232,3.9532,0.3607,-13.1008,7.5393,7.7487
31,00035,2333720302,7631265387.5400,0.0001,4.4532,1.1153,0.5598,-14.3447,6.7297,6.7297
32,00036,1089118593,246140802.0180,0.0004,-2.3222,28.7985,0.1978,-54.7466,0.0000,0.0000
33,00037,610710675,128249241.7500,,-13.3656,2.4485,0.4499,45.6203,0.0000,0.0000
34,00038,391940000,638862200.0000,0.0008,-1.0602,0.2426,0.3109,-0.8274,0.0000,0.0000
35,00039,6225125683,485559803.2740,0.0029,104.4215,0.3832,0.2992,-8.0830,0.0000,0.0000
36,00040,784692952,627754361.6000,,10.2179,0.0928,0.2815,1.5267,5.2500,5.2500
