,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,285554609025.0000,0.0011,7.3219,1.0304,0.4919,-13.2977,4.2813,4.2809
1,00002,2526450570,206916301683.0000,0.0014,15.2706,2.2632,1.7257,174.3187,3.6874,3.7607
2,00003,16925052244,258614798288.3200,0.0008,27.7698,6.6188,3.5310,-121.6324,2.2192,2.2906
3,00004,3049427327,65257744797.8000,0.0013,9.8532,3.0994,0.4468,-2.4243,3.0351,3.0353
4,00005,20638524545,1235215694018.2500,0.0009,11.4662,2.4753,0.7968,-5.9042,6.5821,6.6250
5,00006,2134261654,123360323601.2000,0.0010,16.1551,79.3314,1.4920,-6.3765,4.8443,4.8443
6,00007,4000000000,3360000000.0000,0.0008,21.0024,3.5651,1.0492,-17.6187,0.0000,0.0000
7,00008,7719638249,36591085300.2600,0.0013,40.7927,0.9419,2.0435,-7.5477,6.5907,6.6477
8,00009,3568790629,528181013.0920,0.0005,-1.4918,6.4563,0.5584,-7.1561,0.0000,0.0000
9,00010,1361618242,27913173961.0000,0.0012,5.2816,2.7871,0.1816,-19.7406,3.9024,3.9024
10,00011,1911842736,315454051440.0000,0.0012,13.0294,5.6908,1.9582,-933.2960,4.5455,4.7273
11,00012,4841387003,184456844814.3000,0.0005,5.9202,8.3913,0.5775,-25.4529,4.6051,4.7244
12,00014,1043820891,31158053596.3500,0.0027,5.1646,8.0098,0.3925,890.2301,4.8363,4.8365
13,00015,1683146400,942561984.0000,,1.3379,0.2659,0.2102,13.1915,3.5714,3.5714
14,00016,2897780274,344835852606.0000,0.0011,7.6780,4.0425,0.5989,-298.8179,4.1595,4.1595
15,00017,10226400800,110036072608.0000,0.0015,6.0592,1.4334,0.3996,200.5396,4.7394,4.7394
16,00018,2397917898,1342834022.8800,0.0000,16.4992,1.4892,0.7429,-1.8591,5.3571,3.5714
17,00019,905206000,65717955600.0000,0.0009,2.7812,0.7768,0.1991,19.6114,4.1322,4.3388
18,00020,2048849287,109920764247.5500,0.0006,6.3763,2.2669,0.2732,-4.3493,2.8881,2.9353
19,00021,3975233406,488953708.9380,,11.7221,5.6055,0.5501,-111.1006,0.0000,0.0000
20,00022,1966387866,348050652.2820,,274.7045,4.8210,0.6218,47.7174,0.0000,0.0000
21,00023,2906471326,51037636484.5600,0.0004,7.8411,2.9896,0.4861,-92.1257,6.5410,4.3598
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,3417829940.8000,,5.2216,0.4959,0.3514,17.1724,4.4170,4.8587
24,00026,45308056,5359943024.8000,0.0001,3.8524,60.6212,0.5305,17.7007,18.0051,18.0051
25,00027,4333820007,266096548429.8000,0.0026,19.7001,4.8196,3.8537,-138.8573,1.5441,1.4812
26,00028,1500647491,5147220894.1300,0.0000,4.1138,1.5637,0.2015,-2.6070,5.8547,5.8547
27,00029,237703681,2752608625.9800,0.0001,56.4869,25.9176,1.2908,235.7493,0.5943,0.5943
28,00030,6448152160,2289094016.8000,0.0004,51.7054,2.5153,2.9495,-34.4331,0.0000,0.0000
29,00032,372688206,4546796113.2000,0.0001,10.1629,7.0940,0.6207,-2.6312,3.2787,3.2787
30,00034,1176631296,11601584578.5600,0.0001,5.2895,4.0816,0.3724,-13.5261,7.3022,7.5051
