,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,182207363625.0000,0.0040,4.5746,0.6093,0.3052,-8.4850,6.7097,6.7090
1,00002,2526450570,170661736003.5000,0.0037,36.6463,1.9916,1.4302,295.7742,4.5596,4.5596
2,00003,16925052244,209193645735.8400,0.0026,30.0320,5.1490,2.7746,-98.3885,2.7435,2.8317
3,00004,3049427327,40130463623.3200,0.0025,11.8519,2.3782,0.2742,-1.4908,2.4685,2.4685
4,00005,20689733583,933106984593.3000,0.0017,16.2704,1.6913,0.6992,-5.8799,8.7132,8.7700
5,00006,2134261654,94120938941.4000,0.0029,13.1988,69.8227,1.1009,-4.8651,6.3492,6.3492
6,00007,4000000000,3040000000.0000,0.0015,4.5878,5.6505,0.8311,-15.9408,0.0000,0.0000
7,00008,7729638249,31305034908.4500,0.0025,45.9692,0.8343,1.7419,-6.4573,7.7036,7.7702
8,00009,3568790629,410410922.3350,0.0004,-1.1592,5.0167,0.4339,-5.5604,0.0000,0.0000
9,00010,1361618242,20996153291.6400,0.0017,3.0804,2.2253,0.1326,-3.0368,5.1881,5.1881
10,00011,1911842736,249113108500.8000,0.0023,10.0287,3.9329,1.4902,-737.0210,6.2932,6.2932
11,00012,4841387003,138463668285.8000,0.0045,8.1478,5.7254,0.4255,-19.1063,6.1348,6.2937
12,00014,1043600891,23689740225.7000,0.0026,4.8895,5.9403,0.2926,676.8497,6.3469,6.3469
13,00015,1683146400,690090024.0000,0.0004,0.9795,0.1947,0.1539,9.6581,4.8780,4.8780
14,00016,2897780274,277897128276.6000,0.0027,6.1876,3.2578,0.4799,-240.8121,5.1614,5.1616
15,00017,10223348277,82195720147.0800,0.0022,4.5262,1.0708,0.2965,149.8008,6.3447,6.3457
16,00018,2397917898,1031104696.1400,0.0002,12.6690,1.1435,0.5705,-1.4275,6.9767,4.6512
17,00019,905206000,43585668900.0000,0.0032,4.8391,0.5089,0.1323,13.0068,6.2305,6.2305
18,00020,2052849287,104695313637.0000,0.0018,11.4134,2.1578,0.2659,-4.1426,3.0861,3.0861
19,00021,3975233406,437275674.6600,,10.4832,5.0130,0.4919,-99.3583,0.0000,0.0000
20,00022,1966387866,234000156.0540,0.0000,184.6884,3.2412,0.4180,32.0812,0.0000,0.0000
21,00023,2906471326,46096635230.3600,0.0008,14.1401,2.3418,0.4204,4.9980,2.8981,2.8981
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,2838127336.0000,,4.3359,0.4118,0.2918,14.2598,5.3191,5.8511
24,00026,45308056,4983886160.0000,0.0004,3.5821,56.3680,0.5294,16.4588,19.3636,35.7273
25,00027,4335134993,190312426192.7000,0.0057,14.5928,3.6668,2.5664,-99.3108,2.0723,2.0723
26,00028,1500647491,4501942473.0000,0.0000,3.5981,1.3677,0.1762,-2.2802,6.6939,6.6939
27,00029,237703681,2272447190.3600,0.0004,46.6334,21.3966,1.0805,194.6255,0.7198,0.6276
