,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,221541016725.0000,0.0021,5.5622,0.7409,0.3711,-118.5345,5.5184,5.5178
1,00002,2526450570,207674236854.0000,0.0021,44.5940,2.4236,1.7404,359.9207,3.7470,3.7470
2,00003,16925052244,244059253358.4800,0.0015,35.0373,6.0072,3.2370,-114.7866,2.3515,2.4272
3,00004,3049427327,44155707694.9600,0.0017,13.0407,2.6168,0.3017,5.5717,2.2435,2.2435
4,00005,20690301074,840026223604.4000,0.0014,14.6473,1.5226,0.6295,-5.2933,9.6787,9.7417
5,00006,2134261654,110661466759.9000,0.0014,15.5184,82.0931,1.2944,-55.5529,5.4002,5.4002
6,00007,4000000000,3240000000.0000,0.0004,4.8897,6.0222,0.8858,-16.9895,0.0000,0.0000
7,00008,7729638249,35401743180.4200,0.0012,51.9849,0.9435,1.9698,-25.5608,6.8121,6.8710
8,00009,3568790629,428254875.4800,,-1.4821,10.7281,0.6139,-5.8022,0.0000,0.0000
9,00010,1361618242,23419833762.4000,0.0012,3.4360,2.4822,0.1479,-3.3873,4.6512,4.6512
10,00011,1911842736,262113639105.6000,0.0014,10.5521,4.1381,1.5679,-775.4841,5.9810,5.9810
11,00012,4841387003,154682314745.8500,0.0017,9.1022,6.3961,0.4754,-21.3443,5.4915,5.6338
12,00014,1043600891,26716182809.6000,0.0018,5.5142,6.6991,0.3299,17.4844,5.6279,5.6279
13,00015,1683146400,740584416.0000,,1.0512,0.2089,0.1652,10.3648,4.5455,4.5455
14,00016,2897780274,311221601427.6000,0.0018,6.9296,3.6485,0.5374,-269.6894,4.6087,4.6089
15,00017,10223348277,91090033148.0700,0.0017,5.0159,1.1866,0.3286,166.0106,5.7251,5.7261
16,00018,2397917898,1031104696.1400,0.0001,12.6690,1.1435,0.5705,-1.4275,6.9767,4.6512
17,00019,905206000,45803423600.0000,0.0032,5.0853,0.5348,0.1390,3.7064,5.9289,5.9289
18,00020,2052849287,110238006711.9000,0.0010,12.0177,2.2721,0.2800,-4.3619,2.9309,2.9309
19,00021,3975233406,389572873.7880,,-109.7698,13.7804,0.4136,-88.5192,0.0000,0.0000
20,00022,1966387866,216302665.2600,0.0001,170.7203,2.9961,0.3864,29.6549,0.0000,0.0000
21,00023,2914783467,49376431930.9800,0.0005,15.1461,2.5085,0.4504,5.3536,2.7056,2.7056
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,2874358748.8000,,4.3913,0.4170,0.2955,14.4418,5.2521,5.7773
24,00026,45308056,4571582850.4000,0.0011,3.2858,51.7048,0.4856,15.0972,21.1100,38.9495
25,00027,4335215390,207873577950.5000,0.0050,15.9393,4.0051,2.8032,-27.6155,1.8972,1.8972
26,00028,1500647491,4637000747.1900,0.0003,3.4452,2.0869,0.1812,-2.3486,6.4725,6.4725
27,00029,237703681,2453101987.9200,0.0002,50.3407,23.0976,1.1664,210.0978,0.6668,0.5814
28,00030,6448152160,1599141735.6800,0.0003,36.1210,1.7571,2.0605,-24.0547,0.0000,0.0000
29,00032,372688206,4129385322.4800,0.0002,5.6776,5.9336,0.5504,10.2036,3.6101,3.6101
30,00034,1176631296,10342589091.8400,0.0002,4.2219,0.8898,0.3302,-12.0582,8.1911,8.4187
31,00035,2369421209,6492214112.6600,0.0004,3.7885,0.9488,0.4156,-12.2036,7.9104,7.9312
32,00036,1089118593,150298365.8340,,-1.1359,3.7827,0.1299,-33.4294,0.0000,0.0000
33,00037,610710675,78781677.0750,0.0002,-8.2103,1.5041,0.2919,28.0239,0.0000,0.0000
