,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,288253977375.0000,0.0011,7.3911,1.0401,0.4966,-13.4234,4.2412,4.2408
1,00002,2526450570,210453332481.0000,0.0013,15.5316,2.3019,1.7552,177.2985,3.6255,3.6975
2,00003,16925052244,259630301422.9600,0.0009,27.8789,6.6447,3.5449,-122.1100,2.2105,2.2816
3,00004,3049027327,57138772107.9800,0.0015,8.6273,2.7138,0.3912,-2.1227,3.4664,3.4666
4,00005,20583221579,1242197422292.6500,0.0005,11.5310,2.4893,0.8013,-5.9375,6.5451,6.5878
5,00006,2134261654,120265644202.9000,0.0010,15.7498,77.3413,1.4546,-6.2166,4.9689,4.9689
6,00007,4000000000,3360000000.0000,0.0005,21.0024,3.5651,1.0492,-17.6187,0.0000,0.0000
7,00008,7719638249,36205103387.8100,0.0008,40.3624,0.9319,2.0220,-7.4680,6.6610,6.7186
8,00009,3568790629,460373991.1410,,-1.3003,5.6274,0.4867,-6.2374,0.0000,0.0000
9,00010,1361618242,27436607576.3000,0.0011,5.1914,2.7396,0.1785,-19.4035,3.9702,3.9702
10,00011,1911842736,320807211100.8000,0.0010,13.2505,5.7874,1.9914,-949.1338,4.4696,4.6484
11,00012,4841387003,194865826870.7500,0.0010,6.2543,8.8648,0.6101,-26.8892,4.3591,4.4720
12,00014,1044700891,33117018244.7000,0.0026,5.4893,8.5134,0.4172,946.2005,4.5503,4.5504
13,00015,1683146400,1009887840.0000,0.0002,1.4334,0.2849,0.2228,14.1338,3.3333,3.3333
14,00016,2897780274,351500747236.2000,0.0020,7.8264,4.1207,0.6104,-304.5934,4.0806,4.0806
15,00017,10228714055,118857657319.1000,0.0025,6.5450,1.5484,0.4316,216.6168,4.3876,4.3876
16,00018,2397917898,1438750738.8000,0.0013,17.6777,1.5956,0.7881,-1.9919,5.0000,5.0000
17,00019,905206000,68795656000.0000,0.0013,2.9115,0.8131,0.2084,20.5299,3.9474,4.1447
18,00020,2048549287,101505617170.8500,0.0006,5.8881,2.0933,0.2523,-4.0164,3.1276,3.1786
19,00021,3975233406,484978475.5320,,11.6268,5.5599,0.5456,-110.1973,0.0000,0.0000
20,00022,1966387866,361815367.3440,,285.5686,5.0116,0.6216,49.6045,0.0000,0.0000
21,00023,2906471326,55455472900.0800,0.0004,8.5198,3.2483,0.5282,-100.1001,6.0200,4.0125
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,3375559959.2000,,5.1570,0.4897,0.3501,16.9601,4.4723,4.4723
24,00026,45308056,4666729768.0000,0.0001,3.3541,52.7809,0.4619,15.4115,20.6796,20.6796
25,00027,4332947865,239612016934.5000,0.0016,17.7393,4.3399,3.4702,-125.0369,1.7147,1.6449
26,00028,1506769491,5605182506.5200,0.0004,4.4798,1.7028,0.2194,-2.8390,5.3763,5.3763
27,00029,237703681,2743100478.7400,0.0006,56.2918,25.8281,1.2863,234.9350,0.5963,0.5963
28,00030,6448152160,2385816299.2000,0.0006,53.8902,2.6215,3.1189,-35.8880,0.0000,0.0000
