,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,282083992575.0000,0.0021,7.2329,1.0179,0.4859,-13.1361,4.3340,4.3336
1,00002,2526450570,204010883527.5000,0.0015,15.0562,2.2315,1.7015,171.8710,3.7399,3.7895
2,00003,16925052244,263353812916.6400,0.0017,28.2787,6.7400,3.5957,-123.8613,2.1792,2.2494
3,00004,3047627327,53821098594.8200,0.0022,8.1264,2.5562,0.3685,-1.9994,3.6800,3.6803
4,00005,20493185716,1244961032247.0000,0.0024,11.5566,2.4948,0.8910,-5.9507,6.5306,6.5518
5,00006,2134261654,113009154579.3000,0.0013,14.7995,72.6747,1.3668,-5.8415,5.2880,5.2880
6,00007,4000000000,3480000000.0000,0.0003,21.7524,3.6924,1.0867,-18.2480,0.0000,0.0000
7,00008,7719638249,33657622765.6400,0.0013,37.5224,0.8663,1.8797,-6.9426,7.1651,7.2271
8,00009,3568790629,488924316.1730,0.0000,-1.3809,5.9764,0.5169,-6.6242,0.0000,0.0000
9,00010,1361618242,27436607576.3000,0.0012,5.1914,2.7396,0.1785,-19.4035,3.9702,3.9702
10,00011,1911842736,342219849744.0000,0.0029,14.1349,6.1737,2.1243,-1012.4848,4.1899,4.3017
11,00012,4841387003,187845815716.4000,0.0030,6.0290,8.5454,0.5881,-25.9205,4.5220,4.6392
12,00014,1046500891,33645003645.6500,0.0033,5.5768,8.6491,0.4239,961.2858,4.4788,4.4790
13,00015,1683146400,1043550768.0000,0.0001,1.4812,0.2944,0.2302,14.6049,3.2258,3.2258
14,00016,2897780274,341358516277.2000,0.0025,6.8339,3.9858,0.6148,-147.3914,3.9465,3.9890
15,00017,10225939055,106963322515.3000,0.0033,4.5832,1.7625,0.4130,335.4134,4.5643,4.5797
16,00018,2397917898,1414771559.8200,0.0000,17.3830,1.5690,0.7750,-1.9587,5.0847,5.0847
17,00019,905206000,70606068000.0000,0.0035,2.9881,0.8345,0.2139,21.0701,3.8462,4.0385
18,00020,2048549287,96998808739.4500,0.0007,5.6267,2.0004,0.2411,-3.8380,3.2729,3.3263
19,00021,3975233406,520755576.1860,0.0000,12.4846,5.9701,0.5858,-118.3266,0.0000,0.0000
20,00022,1966387866,383445633.8700,0.0001,302.6406,5.3112,0.6588,52.5700,0.0000,0.0000
21,00023,2896730441,59238137518.4500,0.0009,9.1010,3.4699,0.5642,-106.9280,5.6355,3.7563
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.4447,-6.5079,0.0000,0.0000
23,00025,301928440,3381598528.0000,0.0001,5.1662,0.4906,0.3507,16.9904,4.4643,4.4643
24,00026,45308056,4363165792.8000,0.0000,4.6296,51.0957,0.4748,-52.3400,3.3229,22.1184
25,00027,4332592456,232660214887.2000,0.0021,17.2247,4.2140,3.3695,-121.4092,1.7660,1.6940
26,00028,1506769491,5635317896.3400,0.0000,4.5039,1.7120,0.2206,-2.8542,5.3476,5.3476
27,00029,232323681,1812124711.8000,,14.3677,16.0322,0.8453,-48.0186,0.8146,0.8820
28,00030,6448152160,1528212061.9200,0.0001,34.5188,1.6792,1.9978,-22.9877,0.0000,0.0000
29,00032,372688206,4248645548.4000,0.0002,9.4965,6.6288,0.5800,-2.4586,3.5088,3.5088
30,00034,1176631296,11048567869.4400,0.0002,5.0374,3.8870,0.3546,-12.8813,7.6677,7.8807
31,00035,2333720302,8191358260.0200,0.0004,4.7800,1.1972,0.6009,-15.3976,6.2696,6.2696
32,00036,1089118593,245051683.4250,,-2.3119,28.6711,0.1969,-54.5044,0.0000,0.0000
33,00037,610710675,123974267.0250,0.0005,-12.9201,2.3669,0.4349,44.0996,0.0000,0.0000
34,00038,391940000,662378600.0000,0.0007,-1.0993,0.2515,0.3223,-0.8579,0.0000,0.0000
35,00039,6225125683,404633169.3950,0.0281,87.0179,0.3193,0.2493,-6.7358,0.0000,0.0000
36,00040,784692952,635601291.1200,0.0002,10.3456,0.0939,0.2850,1.5458,5.1852,5.1852
37,00041,708368048,19728050136.8000,0.0010,3.3951,1.9425,0.2086,9.2129,2.9436,2.9602
38,00042,257950000,159929000.0000,0.0002,31.8225,14.3752,26.3648,6.0888,0.0000,0.0000
39,00043,24071837232,16609567690.0800,0.0003,7.5140,0.3154,1.2750,17.6541,6.2319,4.9275
40,00045,1629093367,12886128532.9700,0.0009,10.3670,2.0737,0.3272,-23.2602,2.6268,2.5088
41,00046,249488384,843270737.9200,0.0003,12.3959,2.9964,1.7638,13.9633,6.2130,6.2130
42,00047,10070431786,1238663109.6780,0.0000,10.1028,0.5218,2.3969,-20.8175,4.9593,4.9593
43,00050,356273883,2600799345.9000,0.0002,7.5464,2.3892,0.4250,-1.8898,5.2055,5.2055
44,00051,708750000,9199575000.0000,0.0000,11.0705,5.8115,0.5071,-60.1279,2.3112,2.3112
45,00052,129532780,3056973608.0000,0.0020,16.9882,1.0291,3.9309,58.8140,4.9892,4.9892
46,00053,329051373,40966895938.5000,0.0001,12.1610,2.3444,0.5053,-21.6112,3.2129,3.2129
47,00055,253639456,60873469.4400,0.0002,-1.6052,0.1027,0.0662,-9.2734,0.0000,0.0000
48,00056,6812201460,11580742482.0000,0.0000,4.9419,2.3560,0.2403,4.2022,4.7059,4.7059
49,00057,630531600,1797015060.0000,0.0001,19.9051,1.0985,0.6497,20.3149,2.4561,2.4561
50,00058,748936324,62161714.8920,0.0002,-1.2309,0.1499,0.2098,-1.2268,0.0000,0.0000
51,00059,7934703562,8331438740.1000,0.0005,9.4610,1.1480,2.1576,-12.8197,2.1884,2.1884
52,00060,259586000,220648100.0000,0.0000,1.1733,1.4603,0.3387,2.0479,0.0000,0.0000
53,00061,8773232014,175464640.2800,0.0015,-0.1484,0.1747,7.8634,-1.9084,0.0000,0.0000
54,00062,443744410,8866013311.8000,0.0007,12.3127,1.1070,0.8547,-9.0858,5.8760,5.9170
55,00063,2819102084,676584500.1600,0.0003,-7.6173,40.9332,3.5710,-12.8594,0.0000,0.0000
56,00064,9662705938,2367362954.8100,0.0004,12.1353,4.2131,0.3569,-9.7266,8.1633,8.1633
57,00066,6156031628,293027105492.8000,0.0018,18.3050,5.4335,1.6232,-64.5576,2.5118,2.5163
58,00068,146781285,546026380.2000,,-0.4573,40.8672,0.4609,356.4141,2.0161,0.6720
59,00069,3585525056,30010844718.7200,0.0041,19.8187,1.5184,0.5864,19.2125,2.6284,2.6284
60,00070,692436675,104557937.9250,0.0013,2.6804,0.8013,0.0883,78.5559,0.0000,0.0000
61,00071,690959695,10060373159.2000,0.0002,6.1942,3.1448,0.5110,6.0676,4.1896,4.1896
62,00075,799557415,1822990906.2000,0.0003,22.1481,36.0154,1.1039,142.3211,0.4386,0.4386
63,00076,5482709078,235756490.3540,0.0029,4.3488,0.2616,0.0819,4.0504,0.0000,0.0000
64,00077,271913000,244721700.0000,0.0002,-5.6573,0.6228,1.9101,-45.3104,8.8889,8.8889
65,00078,898782333,3747922328.6100,0.0003,6.8430,1.4337,0.2379,-3.5324,4.5564,4.4365
66,00079,326077423,91301678.4400,0.0000,-7.0925,3.4983,0.2457,-5.9395,0.0000,0.0000
67,00082,4213395262,627795894.0380,0.0009,-0.9695,0.1856,0.5919,-1.9762,0.0000,0.0000
68,00083,6816991049,82349251871.9200,0.0016,11.9090,10.2809,0.5634,-38.5513,4.5433,4.5433
69,00084,1046474025,122437460.9250,0.0010,-3.5437,0.0840,0.1234,-0.8670,0.0000,0.0000
70,00086,2002369493,6868127360.9900,0.0002,5.8018,1.4981,0.3020,2.6246,7.8487,7.5854
71,00087,2981870000,36259539200.0000,0.0002,1.5345,0.4286,0.1099,10.8205,4.9342,5.1809
72,00088,617531425,3933675177.2500,0.0005,16.9848,10.6777,0.5551,7.2470,5.4945,5.4945
73,00089,287669676,1395197928.6000,0.0000,2.8311,3.9596,0.1747,509.6623,4.5361,4.5361
74,00091,718776925,94159777.1750,0.0026,-0.1775,10.3370,-0.3470,-2.4041,0.0000,0.0000
75,00092,683830848,114199751.6160,0.0000,-0.0300,0.8000,0.9858,-9.2913,0.0000,0.0000
76,00093,1957643050,655810421.7500,,-32.9885,21.4359,0.6945,-19.6763,0.0000,0.0000
77,00094,1854991056,547222361.5200,0.0000,-9.6206,1.2813,0.7094,-33.4120,0.0000,0.0000
78,00097,3047327395,1980762806.7500,0.0002,20.4202,1.3240,1.5109,-9.2994,6.1538,6.1538
79,00099,478483794,1349324299.0800,0.0000,0.9491,0.3362,0.2681,1017.5900,3.3688,3.1915
80,00100,541700500,2118048955.0000,0.0000,8.2117,1.0053,0.8053,13.3914,4.3478,4.3478
