,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,269551210950.0000,0.0019,6.9116,0.9727,0.4644,-12.5524,4.5355,4.5351
1,00002,2526450570,203884560999.0000,0.0014,15.0468,2.2301,1.7005,171.7646,3.7423,3.8166
2,00003,16925052244,252183278435.6000,0.0017,27.0792,6.4542,3.4432,-118.6075,2.2758,2.3490
3,00004,3049427327,59280867236.8800,0.0009,8.9508,2.8155,0.4059,-2.2023,3.3411,3.3413
4,00005,20638524545,1170204341701.5000,0.0016,10.8627,2.3450,0.7548,-5.5934,6.9478,6.9931
5,00006,2134261654,120265644202.9000,0.0013,15.7498,77.3413,1.4546,-6.2166,4.9689,4.9689
6,00007,4000000000,3160000000.0000,0.0002,19.7522,3.3529,0.9867,-16.5700,0.0000,0.0000
7,00008,7719638249,35819121475.3600,0.0012,39.9321,0.9220,2.0004,-7.3884,6.7328,6.7909
8,00009,3568790629,538887384.9790,,-1.5220,6.5871,0.5697,-7.3011,0.0000,0.0000
9,00010,1361618242,26251999705.7600,0.0012,3.8515,2.7824,0.1658,-18.5658,4.1494,4.1494
10,00011,1911842736,302835889382.4000,0.0013,12.5082,5.4632,1.8799,-895.9642,4.7348,4.9242
11,00012,4841387003,171627169256.3500,0.0012,5.5085,7.8076,0.5373,-23.6825,4.9494,5.0776
12,00014,1043820891,30949289418.1500,0.0054,5.1300,7.9561,0.3899,884.2654,4.8690,4.8691
13,00015,1683146400,833157468.0000,0.0000,1.1826,0.2351,0.1858,11.6604,4.0404,4.0404
14,00016,2897780274,319335386194.8000,0.0015,7.1102,3.7436,0.5546,-276.7204,4.4916,4.4916
15,00017,10226400800,101241367920.0000,0.0024,5.5749,1.3189,0.3677,184.5113,5.1511,5.1511
16,00018,2397917898,1270896485.9400,0.0001,15.6153,1.4094,0.7031,-1.7595,5.6604,3.7736
17,00019,905206000,63273899400.0000,0.0025,2.6778,0.7479,0.1917,18.8821,4.2918,4.5064
18,00020,2052849287,97818268525.5500,0.0006,5.6742,2.0173,0.2431,-3.8705,3.2455,3.2984
19,00021,3975233406,477028008.7200,,11.4362,5.4687,0.5366,-108.3908,0.0000,0.0000
20,00022,1966387866,318554834.2920,,251.4245,4.4124,0.5691,43.6735,0.0000,0.0000
21,00023,2906471326,49410012542.0000,0.0004,7.5910,2.8942,0.4706,-89.1877,6.7565,4.5034
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,3369521390.4000,,5.1478,0.4889,0.3464,16.9297,4.4803,4.9283
24,00026,45308056,5146995161.6000,0.0002,3.6993,58.2127,0.5095,16.9975,18.7500,18.7500
25,00027,4333820007,224491876362.6000,0.0066,16.6199,4.0661,3.2512,-117.1467,1.8302,1.7557
26,00028,1500647491,4877104345.7500,0.0001,3.8979,1.4816,0.1909,-2.4702,6.1790,6.1790
27,00029,237703681,2538675313.0800,0.0011,52.0968,23.9033,1.1905,217.4268,0.6443,0.6443
28,00030,6448152160,1966686408.8000,0.0008,44.4230,2.1610,2.5340,-29.5834,0.0000,0.0000
