id,secu_code,market_code,entry_index,strategy_type,strategy_item,strategy_code,strategy_name,strategy_version,entry_price,entry_time,status
﻿5742472e99e74e6d8c,00150,2,0,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,1.16,2020-06-19,0
﻿c8e80597bc1c4871a5,03908,2,1,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,14.58,2020-06-19,0
﻿8c1385c03d2c426796,06166,2,2,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.08,2020-06-19,0
﻿e14fe6c4d877442085,01141,2,3,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,0.17,2020-06-19,0
﻿ef6a6cef87e44f74b1,01168,2,4,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,0.49,2020-06-19,0
﻿11caf3d9e5f743eba7,02048,2,5,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,9.17,2020-06-19,0
﻿7d20f93285a34180ba,03333,2,6,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,20.55,2020-06-19,0
﻿5094af4a29cc4569a9,00921,2,7,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,9.25,2020-06-19,0
﻿f7f41d6f83b842a495,00622,2,8,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,0.95,2020-06-19,0
﻿0604baba45824b7483,00388,2,9,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,300.4,2020-06-19,0
﻿d8bfabb5844b4ff183,06808,2,0,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,12.98,2020-06-19,0
﻿5ab8cd4c88a649308d,01995,2,1,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,12.74,2020-06-19,0
﻿3570fc851e904deb9d,00881,2,2,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,42.0,2020-06-19,0
﻿5aa4f8ba8fa540bf87,00772,2,3,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,52.5,2020-06-19,0
﻿e6a741137dbf4ec891,01177,2,4,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,14.82,2020-06-19,0
﻿a546f76fd176440399,00700,2,5,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,460.4,2020-06-19,0
﻿ecc601a6caaa4b879a,01513,2,6,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,37.2,2020-06-19,0
﻿4ea0b3c549ae4a6aaa,00535,2,7,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,1.43,2020-06-19,0
﻿94605f4c835f4b48a9,03690,2,8,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,174.0,2020-06-19,0
﻿94e22b1476f14033ac,01579,2,9,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,74.1,2020-06-19,0
﻿aeb40f3649d84cb7a0,00860,2,0,SHAPEX,2,changxiaying,长下影,rc20200615,0.39,2020-06-19,0
﻿ca73cf6ae57f4ecf9b,01936,2,1,SHAPEX,2,changxiaying,长下影,rc20200615,4.05,2020-06-19,0
﻿2bde4c43687f41019c,01713,2,2,SHAPEX,2,changxiaying,长下影,rc20200615,2.06,2020-06-19,0
﻿9564ef930cdd40f591,06185,2,3,SHAPEX,2,changxiaying,长下影,rc20200615,185.3,2020-06-19,0
﻿b3061c1c363f495190,00053,2,4,SHAPEX,2,changxiaying,长下影,rc20200615,115.8,2020-06-19,0
﻿6b8288fb380648318b,01376,2,5,SHAPEX,2,changxiaying,长下影,rc20200615,0.6,2020-06-19,0
﻿6eead984f5e64094b8,01030,2,6,SHAPEX,2,changxiaying,长下影,rc20200615,7.33,2020-06-19,0
﻿3a1f0a3084434868a6,09928,2,7,SHAPEX,2,changxiaying,长下影,rc20200615,10.42,2020-06-19,0
﻿194473de3ae444778e,00582,2,8,SHAPEX,2,changxiaying,长下影,rc20200615,0.24,2020-06-19,0
﻿e5296006b11f4ddbb5,00460,2,9,SHAPEX,2,changxiaying,长下影,rc20200615,0.75,2020-06-19,0
﻿ac0862775f364fd7a5,01636,2,0,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,0.4,2020-06-19,0
﻿1778e537992c4f9e97,00708,2,1,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,10.56,2020-06-19,0
﻿6d43e62d5ac44c75be,03309,2,2,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,6.28,2020-06-19,0
﻿e733e0111fdd4c7e97,00082,2,3,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,0.21,2020-06-19,0
﻿4da596c3c43f4e3f88,00579,2,4,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,1.63,2020-06-19,0
﻿2628fd7379114e3795,01798,2,5,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,0.94,2020-06-19,0
﻿58cbbee9d55742ce95,01753,2,6,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,3.77,2020-06-19,0
﻿602cece11fb8436693,00999,2,7,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,1.17,2020-06-19,0
﻿b961f1023b81493f8b,00127,2,8,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,5.6,2020-06-19,0
﻿cb19441f4ca64cd187,01569,2,9,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,1.15,2020-06-19,0
﻿6115eb4a333746e9bf,03301,2,0,FINX,0,pbroejiazhitouzi,PB-ROE价值投资,rc20200616,7.11,2020-06-19,0
﻿9009620d68474b1caa,01919,2,1,FINX,0,pbroejiazhitouzi,PB-ROE价值投资,rc20200616,2.35,2020-06-19,0
﻿eec9004e9fbc41f884,03883,2,2,FINX,0,pbroejiazhitouzi,PB-ROE价值投资,rc20200616,9.93,2020-06-19,0
﻿73b8a15d3df143a482,01986,2,3,FINX,0,pbroejiazhitouzi,PB-ROE价值投资,rc20200616,1.23,2020-06-19,0
﻿87e242c1e8d0401ba6,02007,2,4,FINX,0,pbroejiazhitouzi,PB-ROE价值投资,rc20200616,10.02,2020-06-19,0
﻿ffa0b96dcd1c4ee9be,01238,2,5,FINX,0,pbroejiazhitouzi,PB-ROE价值投资,rc20200616,4.59,2020-06-19,0
﻿af654854aff54092b0,01339,2,6,FINX,0,pbroejiazhitouzi,PB-ROE价值投资,rc20200616,2.49,2020-06-19,0
﻿291768b66ab94525a5,00884,2,7,FINX,0,pbroejiazhitouzi,PB-ROE价值投资,rc20200616,6.42,2020-06-19,0
﻿8b47492f547a4bbb91,01233,2,8,FINX,0,pbroejiazhitouzi,PB-ROE价值投资,rc20200616,15.02,2020-06-19,0
﻿2741a2503447473bb8,00656,2,9,FINX,0,pbroejiazhitouzi,PB-ROE价值投资,rc20200616,10.04,2020-06-19,0
﻿b041eea3a7a940bdba,00733,2,0,FINX,1,xiaopanjiazhitouzi,小盘价值投资,rc20200616,1.7,2020-06-19,0
﻿0dc665250a8e484b92,02868,2,1,FINX,1,xiaopanjiazhitouzi,小盘价值投资,rc20200616,1.48,2020-06-19,0
﻿42415edf816d476783,01361,2,2,FINX,1,xiaopanjiazhitouzi,小盘价值投资,rc20200616,0.99,2020-06-19,0
﻿11d9b02640fc485ca7,00732,2,3,FINX,1,xiaopanjiazhitouzi,小盘价值投资,rc20200616,0.75,2020-06-19,0
﻿e552d9097f9e4c4b94,02009,2,4,FINX,1,xiaopanjiazhitouzi,小盘价值投资,rc20200616,1.62,2020-06-19,0
