id,secu_code,market_code,entry_index,strategy_type,strategy_item,strategy_code,strategy_name,strategy_version,entry_price,entry_time,status
﻿b89b0648cfab403082,00242,2,0,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.11,2020-06-23,0
﻿f02d06e592684d20bc,00150,2,1,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,1.18,2020-06-23,0
﻿2770b91458db40ea94,03608,2,2,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,2.15,2020-06-23,0
﻿70bef16d647c46c3ab,06166,2,3,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.07,2020-06-23,0
﻿55bff963c60e4d26b8,03908,2,4,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,15.14,2020-06-23,0
﻿2bc3501dd8904502b8,01589,2,5,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.23,2020-06-23,0
﻿012e528de6164c05a2,02048,2,6,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,8.72,2020-06-23,0
﻿cf4ef39f8cec4002b9,02006,2,7,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,1.48,2020-06-23,0
﻿379d1c1d6f24425288,03333,2,8,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,19.98,2020-06-23,0
﻿ee86a05e006c49efa7,06088,2,9,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.0,2020-06-23,0
﻿730c7740a40a415287,01268,2,0,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,18.56,2020-06-23,0
﻿d556dd5143b44f6f88,00268,2,1,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,16.02,2020-06-23,0
﻿ae5bbc0eb93848d69f,01358,2,2,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,1.72,2020-06-23,0
﻿5a46d3142c8649a395,02001,2,3,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,4.96,2020-06-23,0
﻿07f3ce72682a4273bb,00968,2,4,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,6.98,2020-06-23,0
﻿c01132691cfc49aba9,01323,2,5,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,0.61,2020-06-23,0
﻿3256cfad0a40450c90,06066,2,6,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,8.58,2020-06-23,0
﻿046bde8696fa4d949c,02030,2,7,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,2.09,2020-06-23,0
﻿69432d74689d4231a8,01579,2,8,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,76.05,2020-06-23,0
﻿0a4779bc4b1e437da6,01458,2,9,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,6.58,2020-06-23,0
﻿bdb26cc2650c4c3c94,01387,2,0,SHAPEX,2,changxiaying,长下影,rc20200615,1.58,2020-06-23,0
﻿5c8145dce0cc43eca8,01563,2,1,SHAPEX,2,changxiaying,长下影,rc20200615,1.16,2020-06-23,0
﻿ab8d57ed609e41a9af,03700,2,2,SHAPEX,2,changxiaying,长下影,rc20200615,1.1,2020-06-23,0
﻿3c639a226580410abc,08279,2,3,SHAPEX,2,changxiaying,长下影,rc20200615,0.37,2020-06-23,0
﻿c1a2b27fb39144c59c,02098,2,4,SHAPEX,2,changxiaying,长下影,rc20200615,0.72,2020-06-23,0
﻿a261540138534cef9a,01233,2,5,SHAPEX,2,changxiaying,长下影,rc20200615,15.02,2020-06-23,0
﻿b8f2818138a8432da7,01513,2,6,SHAPEX,2,changxiaying,长下影,rc20200615,37.05,2020-06-23,0
﻿f89da68a16314a1fa4,01169,2,7,SHAPEX,2,changxiaying,长下影,rc20200615,24.7,2020-06-23,0
﻿5dc5ad19c0af4cf5b5,00804,2,8,SHAPEX,2,changxiaying,长下影,rc20200615,0.16,2020-06-23,0
﻿c3fad4aa7f8f4fdea4,01302,2,9,SHAPEX,2,changxiaying,长下影,rc20200615,2.15,2020-06-23,0
﻿286301347b0747bbab,01636,2,0,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,0.33,2020-06-23,0
﻿40b0d90b653640ff95,00708,2,1,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,10.7,2020-06-23,0
﻿f25cc37e8b924a2a97,00579,2,2,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,1.51,2020-06-23,0
