成份代码,成份名称,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
03808.HK,中国重汽,183.5729,2020-06-30,20.0500,0.6526,0.0000,0.0000,553.5792,553.5792,27.6099,27.6099
03818.HK,中国动向,21.1291,2020-06-30,0.6900,-2.8169,0.0000,0.0000,40.6142,40.6142,58.8612,58.8612
03836.HK,和谐汽车,11.0897,2020-06-30,3.8500,3.7736,0.0000,0.0000,60.6245,60.6245,15.7466,15.7466
03868.HK,信义能源,——,2020-06-30,2.4500,1.2397,0.0000,0.0000,165.4357,165.4357,67.5248,67.5248
03877.HK,中国船舶租赁,——,2020-06-30,0.9800,0.0000,0.0000,0.0000,60.1334,60.1334,61.3607,61.3607
03883.HK,中国奥园,28.3028,2020-06-30,9.3700,-2.1921,0.0000,0.0000,253.2602,253.2602,27.0288,27.0288
03888.HK,金山软件,68.6270,2020-06-30,36.0500,-0.5517,0.0000,0.0000,494.8687,494.8687,13.7273,13.7273
03898.HK,中车时代电气,18.2064,2020-06-30,19.7000,1.5464,0.0000,0.0000,107.8239,231.5689,5.4733,11.7548
03899.HK,中集安瑞科,5.3149,2020-06-30,3.0700,-0.3247,0.0000,0.0000,61.7219,61.7219,20.1048,20.1048
03900.HK,绿城中国,3.8289,2020-06-30,7.7400,0.2591,0.0000,0.0000,193.0294,193.0294,24.9392,24.9392
03908.HK,中金公司,171.3165,2020-06-30,15.2200,-0.2621,0.0000,0.0000,289.7453,664.9112,19.0371,43.6867
03918.HK,金界控股,34.5160,2020-06-30,8.9700,2.0478,0.0000,0.0000,389.3884,389.3884,43.4101,43.4101
03933.HK,联邦制药,317.4908,2020-06-30,6.7000,1.3616,0.0000,0.0000,121.4274,121.4274,18.1235,18.1235
03958.HK,东方证券,27.7818,2020-06-30,4.2800,4.1363,0.0000,0.0000,43.9590,299.3285,10.2708,69.9366
03968.HK,招商银行,15.0220,2020-06-30,35.6500,-0.4190,0.0000,0.0000,"1,636.6563","8,990.8750",45.9090,252.1985
03969.HK,中国通号,21.9965,2020-06-30,3.3300,0.9091,0.0000,0.0000,65.5611,352.6410,19.6880,105.8982
03983.HK,中海石油化学,2.6627,2020-06-30,1.1500,-1.7094,0.0000,0.0000,20.3665,53.0150,17.7100,46.1000
03988.HK,中国银行,3.8500,2020-06-30,2.8700,-0.6920,0.0000,0.0000,"2,399.9593","8,448.9296",836.2228,"2,943.8779"
03990.HK,美的置业,——,2020-06-30,18.9600,0.0000,0.0000,0.0000,233.3155,233.3155,12.3057,12.3057
03993.HK,洛阳钼业,46.5694,2020-06-30,2.5300,-0.7843,0.0000,0.0000,99.5167,546.4608,39.3347,215.9924
03998.HK,波司登,28.4942,2020-06-30,2.4000,3.0043,0.0000,0.0000,257.8379,257.8379,107.4324,107.4324
06030.HK,中信证券,36.2431,2020-06-30,14.6600,1.5235,0.0000,0.0000,334.0028,"1,895.0654",22.7833,129.2678
06049.HK,保利物业,——,2020-06-30,78.0000,-0.1919,0.0000,0.0000,431.6001,431.6001,5.5333,5.5333
